"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
-118.830525310492,-116.340494409875,-113.850463509258,-111.36043260864,-108.870401708023,-106.380370807406,-103.890339906789,-101.400309006172,-98.9102781055546,-96.4202472049374,-93.9302163043202,-91.4401854037031,-88.9501545030859,-86.4601236024687,-83.9700927018515,-81.4800618012344,-78.9900309006172
-118.184761222396,-114.556245856373,-110.927730490349,-107.299215124326,-103.670699758303,-100.04218439228,-96.4136690262562,-92.785153660233,-89.1566382942096,-85.5281229281863,-81.8996075621631,-78.2710921961398,-74.6425768301165,-71.0140614640932,-67.3855460980699,-63.7570307320466,-60.1285153660233
-118.996511321875,-117.555540067647,-116.114568813419,-114.673597559191,-113.232626304963,-111.791655050735,-110.350683796507,-108.909712542279,-107.468741288051,-106.027770033824,-104.586798779596,-103.145827525368,-101.70485627114,-100.263885016912,-98.8229137626838,-97.3819425084559,-95.9409712542279
-118.346438875203,-116.531942470779,-114.717446066356,-112.902949661932,-111.088453257508,-109.273956853084,-107.459460448661,-105.644964044237,-103.830467639813,-102.01597123539,-100.201474830966,-98.3869784265422,-96.5724820221185,-94.7579856176948,-92.9434892132711,-91.1289928088474,-89.3144964044237
-119.16487607938,-117.802236310005,-116.439596540629,-115.076956771254,-113.714317001879,-112.351677232504,-110.989037463128,-109.626397693753,-108.263757924378,-106.901118155002,-105.538478385627,-104.175838616252,-102.813198846876,-101.450559077501,-100.087919308126,-98.7252795387506,-97.3626397693753
-118.510441990373,-115.83335716741,-113.156272344447,-110.479187521484,-107.802102698521,-105.125017875557,-102.447933052594,-99.7708482296312,-97.093763406668,-94.4166785837049,-91.7395937607418,-89.0625089377787,-86.3854241148156,-83.7083392918525,-81.0312544688894,-78.3541696459262,-75.6770848229631
-117.381622456028,-112.976821135085,-108.572019814142,-104.1672184932,-99.7624171722567,-95.3576158513139,-90.9528145303711,-86.5480132094282,-82.1432118884854,-77.7384105675426,-73.3336092465998,-68.9288079256569,-64.5240066047141,-60.1192052837713,-55.7144039628285,-51.3096026418856,-46.9048013209428
-117.536720004366,-115.299265886462,-113.061811768558,-110.824357650654,-108.58690353275,-106.349449414847,-104.111995296943,-101.874541179039,-99.6370870611349,-97.3996329432311,-95.1621788253272,-92.9247247074233,-90.6872705895194,-88.4498164716155,-86.2123623537117,-83.9749082358078,-81.7374541179039
-117.694041188457,-115.535568177371,-113.377095166286,-111.2186221552,-109.060149144114,-106.901676133028,-104.743203121943,-102.584730110857,-100.426257099771,-98.2677840886857,-96.1093110775999,-93.9508380665143,-91.7923650554285,-89.6338920443428,-87.4754190332571,-85.3169460221714,-83.1584730110857
-117.039372876316,-114.742939177709,-112.446505479102,-110.150071780496,-107.853638081889,-105.557204383282,-103.260770684675,-100.964336986068,-98.6679032874614,-96.3714695888546,-94.0750358902478,-91.7786021916409,-89.4821684930341,-87.1857347944273,-84.8893010958205,-82.5928673972137,-80.2964336986068
-117.853633217418,-116.803419498746,-115.753205780075,-114.702992061403,-113.652778342731,-112.60256462406,-111.552350905388,-110.502137186716,-109.451923468045,-108.401709749373,-107.351496030702,-106.30128231203,-105.251068593358,-104.200854874687,-103.150641156015,-102.100427437343,-101.050213718672
-117.194505300341,-115.212475576792,-113.230445853242,-111.248416129693,-109.266386406143,-107.284356682594,-105.302326959044,-103.320297235495,-101.338267511945,-99.3562377883958,-97.3742080648463,-95.3921783412968,-93.4101486177474,-91.4281188941979,-89.4460891706484,-87.4640594470989,-85.4820297235495
-120.11501373537,-117.196483515642,-114.277953295915,-111.359423076187,-108.440892856459,-105.522362636732,-102.603832417004,-99.6853021972765,-96.7667719775488,-93.8482417578212,-90.9297115380935,-88.0111813183659,-85.0926510986382,-82.1741208789106,-79.2555906591829,-76.3370604394553,-73.4185302197277
-119.473959852063,-116.210785743118,-112.947611634173,-109.684437525228,-106.421263416283,-103.158089307339,-99.8949151983937,-96.6317410894488,-93.3685669805039,-90.1053928715591,-86.8422187626142,-83.5790446536693,-80.3158705447244,-77.0526964357795,-73.7895223268346,-70.5263482178898,-67.2631741089449
-120.289468718679,-119.566558794051,-118.843648869423,-118.120738944794,-117.397829020166,-116.674919095538,-115.95200917091,-115.229099246282,-114.506189321654,-113.783279397025,-113.060369472397,-112.337459547769,-111.614549623141,-110.891639698513,-110.168729773885,-109.445819849256,-108.722909924628
-119.644205247241,-116.69454611505,-113.74488698286,-110.795227850669,-107.845568718478,-104.895909586288,-101.946250454097,-98.9965913219065,-96.0469321897158,-93.0972730575252,-90.1476139253345,-87.1979547931439,-84.2482956609532,-81.2986365287626,-78.3489773965719,-75.3993182643813,-72.4496591321906
-120.466404955498,-119.497792899292,-118.529180843086,-117.560568786881,-116.591956730675,-115.623344674469,-114.654732618263,-113.686120562058,-112.717508505852,-111.748896449646,-110.78028439344,-109.811672337235,-108.843060281029,-107.874448224823,-106.905836168617,-105.937224112412,-104.968612056206
-119.816881323404,-119.592358892616,-119.367836461827,-119.143314031039,-118.91879160025,-118.694269169462,-118.469746738673,-118.245224307885,-118.020701877096,-117.796179446308,-117.571657015519,-117.347134584731,-117.122612153942,-116.898089723154,-116.673567292365,-116.449044861577,-116.224522430788
-120.645874400211,-119.578470023728,-118.511065647245,-117.443661270762,-116.376256894279,-115.308852517796,-114.241448141313,-113.17404376483,-112.106639388347,-111.039235011864,-109.971830635381,-108.904426258898,-107.837021882415,-106.769617505932,-105.702213129449,-104.634808752966,-103.567404376483
