"SP","sci.x","pest","genus.1","severity","clean_pest","genus2","FIA..Code","code.x","Common.Name","Genus.x","Species.x","genus","FIA  Code","code.y","Common Name","Genus.y","Species.y","sci.y"
"BLACK WILLOW","SALIX NIGRA","Gypsy Moth (Lymantria dispar dispar)","I/F",3,"Lymantria dispar","Salix",922,"SANI","BLACK WILLOW","Salix","nigra","salix","0922","SANI","black willow","Salix","nigra","SALIX NIGRA"
"BLACKJACK OAK","QUERCUS MARILANDICA","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",824,"QUMA3","BLACKJACK OAK","Quercus","marilandica","quercus","0824","QUMA3","blackjack oak","Quercus","marilandica","QUERCUS MARILANDICA"
"BLACKJACK OAK","QUERCUS MARILANDICA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",824,"QUMA3","BLACKJACK OAK","Quercus","marilandica","quercus","0824","QUMA3","blackjack oak","Quercus","marilandica","QUERCUS MARILANDICA"
"BLUE ASH","FRAXINUS QUADRANGULATA","Oystershell scale (Lepidosaphes ulmi)*","I/S",3,"Lepidosaphes ulmi","Fraxinus",546,"FRQU","BLUE ASH","","quadrangulata","","0546","FRQU","blue ash","","quadrangulata","FRAXINUS QUADRANGULATA"
"BLUE ASH","FRAXINUS QUADRANGULATA","Emerald ash borer (Agrilus planipennis)*","I/B",8,"Agrilus planipennis","Fraxinus",546,"FRQU","BLUE ASH","","quadrangulata","","0546","FRQU","blue ash","","quadrangulata","FRAXINUS QUADRANGULATA"
"BLUE OAK","QUERCUS DOUGLASII","Oak pit scale (Asterolecanium spp.)*","I/S",3,"Asterolecanium variolosum","Quercus",807,"QUDO","BLUE OAK","Quercus","douglasii","quercus","0807","QUDO","blue oak","Quercus","douglasii","QUERCUS DOUGLASII"
"BLUEJACK OAK","QUERCUS INCANA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",842,"QUIN","BLUEJACK OAK","","incana","","0842","QUIN","bluejack oak","","incana","QUERCUS INCANA"
"BLUEJACK OAK","QUERCUS INCANA","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",842,"QUIN","BLUEJACK OAK","","incana","","0842","QUIN","bluejack oak","","incana","QUERCUS INCANA"
"BORDER PINYON","PINUS DISCOLOR","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",134,"PIDI3","BORDER PINYON","","discolor","","0134","PIDI3","border pinyon","","discolor","PINUS DISCOLOR"
"BORDER PINYON","PINUS DISCOLOR","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",134,"PIDI3","BORDER PINYON","","discolor","","0134","PIDI3","border pinyon","","discolor","PINUS DISCOLOR"
"BOXELDER","ACER NEGUNDO","Japanese beetle (Popillia japonica)*","I/F",0,"Popillia japonica","Acer",313,"ACNE2","BOXELDER","Acer","negundo","acer","0313","ACNE2","boxelder","Acer","negundo","ACER NEGUNDO"
"BOXELDER","ACER NEGUNDO","Oystershell scale (Lepidosaphes ulmi)*","I/S",0,"Lepidosaphes ulmi","Acer",313,"ACNE2","BOXELDER","Acer","negundo","acer","0313","ACNE2","boxelder","Acer","negundo","ACER NEGUNDO"
"BOXELDER","ACER NEGUNDO","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",8,"Anoplophora glabripennis","Acer",313,"ACNE2","BOXELDER","Acer","negundo","acer","0313","ACNE2","boxelder","Acer","negundo","ACER NEGUNDO"
"BRAINERD HAWTHORN","CRATAEGUS BRAINERDII","Winter moth (Operophtera brumata)*","I/F",1,"Operophtera brumata","Crataegus",503,"CRBR3","BRAINERD HAWTHORN","","brainerdii","","0503","CRBR3","Brainerd hawthorn","","brainerdii","CRATAEGUS BRAINERDII"
"BRAINERD HAWTHORN","CRATAEGUS BRAINERDII","Cherry bark tortrix (Enarmonia formosana)*","I/B",3,"Enarmonia formosana","Crataegus",503,"CRBR3","BRAINERD HAWTHORN","","brainerdii","","0503","CRBR3","Brainerd hawthorn","","brainerdii","CRATAEGUS BRAINERDII"
"BROADLEAF HAWTHORN","CRATAEGUS DILATATA","Winter moth (Operophtera brumata)*","I/F",1,"Operophtera brumata","Crataegus",506,"CRDI","BROADLEAF HAWTHORN","","dilatata","","0506","CRDI","broadleaf hawthorn","","dilatata","CRATAEGUS DILATATA"
"BROADLEAF HAWTHORN","CRATAEGUS DILATATA","Cherry bark tortrix (Enarmonia formosana)*","I/B",3,"Enarmonia formosana","Crataegus",506,"CRDI","BROADLEAF HAWTHORN","","dilatata","","0506","CRDI","broadleaf hawthorn","","dilatata","CRATAEGUS DILATATA"
"BUR OAK","QUERCUS MACROCARPA","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",823,"QUMA2","BUR OAK","Quercus","macrocarpa","quercus","0823","QUMA2","bur oak","Quercus","macrocarpa","QUERCUS MACROCARPA"
"BUR OAK","QUERCUS MACROCARPA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",823,"QUMA2","BUR OAK","Quercus","macrocarpa","quercus","0823","QUMA2","bur oak","Quercus","macrocarpa","QUERCUS MACROCARPA"
"CALIFORNIA BLACK OAK","QUERCUS KELLOGGII","Oak pit scale (Asterolecanium spp.)*","I/S",3,"Asterolecanium variolosum","Quercus",818,"QUKE","CALIFORNIA BLACK OAK","Quercus","kelloggii","quercus","0818","QUKE","California black oak","Quercus","kelloggii","QUERCUS KELLOGGII"
"CALIFORNIA BUCKEYE","AESCULUS CALIFORNICA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",5,"Anoplophora glabripennis","Aesculus",333,"AECA","CALIFORNIA BUCKEYE","Aesculus","californica","aesculus","0333","AECA","California buckeye","Aesculus","californica","AESCULUS CALIFORNICA"
"CALIFORNIA JUNIPER","JUNIPERUS CALIFORNICA","Juniper scale (Carulaspis juniperi)*","I/S",1,"Carulaspis juniperi","Juniperus",62,"JUCA7","CALIFORNIA JUNIPER","Juniperus","californica","juniperus","0062","JUCA7","California juniper","Juniperus","californica","JUNIPERUS CALIFORNICA"
