"SP","sci.x","pest","genus.1","severity","clean_pest","genus2","FIA..Code","code.x","Common.Name","Genus.x","Species.x","genus","FIA  Code","code.y","Common Name","Genus.y","Species.y","sci.y"
"PAPER BIRCH","BETULA PAPYRIFERA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Betula",375,"BEPA","PAPER BIRCH","Betula","papyrifera","betula","0375","BEPA","paper birch","Betula","papyrifera","BETULA PAPYRIFERA"
"PAPER BIRCH","BETULA PAPYRIFERA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",5,"Anoplophora glabripennis","Betula",375,"BEPA","PAPER BIRCH","Betula","papyrifera","betula","0375","BEPA","paper birch","Betula","papyrifera","BETULA PAPYRIFERA"
"PAPERSHELL PINYON PINE","PINUS REMOTA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",141,"PIRE5","PAPERSHELL PINYON PINE","","remota","","0141","PIRE5","papershell pinyon pine","","remota","PINUS REMOTA"
"PAPERSHELL PINYON PINE","PINUS REMOTA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",141,"PIRE5","PAPERSHELL PINYON PINE","","remota","","0141","PIRE5","papershell pinyon pine","","remota","PINUS REMOTA"
"PEACHLEAF WILLOW","SALIX AMYGDALOIDES","Gypsy Moth (Lymantria dispar dispar)","I/F",3,"Lymantria dispar","Salix",921,"SAAM2","PEACHLEAF WILLOW","Salix","amygdaloides","salix","0921","SAAM2","peachleaf willow","Salix","amygdaloides","SALIX AMYGDALOIDES"
"PEACHLEAF WILLOW","SALIX AMYGDALOIDES","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",1,"Anoplophora glabripennis","Salix",921,"SAAM2","PEACHLEAF WILLOW","Salix","amygdaloides","salix","0921","SAAM2","peachleaf willow","Salix","amygdaloides","SALIX AMYGDALOIDES"
"PEAR HAWTHORN","CRATAEGUS CALPODENDRON","Winter moth (Operophtera brumata)*","I/F",1,"Operophtera brumata","Crataegus",504,"CRCA","PEAR HAWTHORN","","calpodendron","","0504","CRCA","pear hawthorn","","calpodendron","CRATAEGUS CALPODENDRON"
"PEAR HAWTHORN","CRATAEGUS CALPODENDRON","Cherry bark tortrix (Enarmonia formosana)*","I/B",3,"Enarmonia formosana","Crataegus",504,"CRCA","PEAR HAWTHORN","","calpodendron","","0504","CRCA","pear hawthorn","","calpodendron","CRATAEGUS CALPODENDRON"
"PIN OAK","QUERCUS PALUSTRIS","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",830,"QUPA2","PIN OAK","Quercus","palustris","quercus","0830","QUPA2","pin oak","Quercus","palustris","QUERCUS PALUSTRIS"
"PIN OAK","QUERCUS PALUSTRIS","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",830,"QUPA2","PIN OAK","Quercus","palustris","quercus","0830","QUPA2","pin oak","Quercus","palustris","QUERCUS PALUSTRIS"
"PINCHOT JUNIPER","JUNIPERUS PINCHOTII","Juniper scale (Carulaspis juniperi)*","I/S",1,"Carulaspis juniperi","Juniperus",58,"JUPI","PINCHOT JUNIPER","Juniperus","pinchotii","juniperus","0058","JUPI","Pinchot juniper","Juniperus","pinchotii","JUNIPERUS PINCHOTII"
"PITCH PINE","PINUS RIGIDA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",126,"PIRI","PITCH PINE","","rigida","","0126","PIRI","pitch pine","","rigida","PINUS RIGIDA"
"PITCH PINE","PINUS RIGIDA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",126,"PIRI","PITCH PINE","","rigida","","0126","PIRI","pitch pine","","rigida","PINUS RIGIDA"
"POND PINE","PINUS SEROTINA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",128,"PISE","POND PINE","","serotina","","0128","PISE","pond pine","","serotina","PINUS SEROTINA"
"POND PINE","PINUS SEROTINA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",128,"PISE","POND PINE","","serotina","","0128","PISE","pond pine","","serotina","PINUS SEROTINA"
"PONDEROSA PINE","PINUS PONDEROSA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",122,"PIPO","PONDEROSA PINE","","ponderosa","","0122","PIPO","ponderosa pine","","ponderosa","PINUS PONDEROSA"
"PONDEROSA PINE","PINUS PONDEROSA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",122,"PIPO","PONDEROSA PINE","","ponderosa","","0122","PIPO","ponderosa pine","","ponderosa","PINUS PONDEROSA"
"PORT-ORFORD-CEDAR","CHAMAECYPARIS LAWSONIANA","Juniper scale (Carulaspis juniperi)*","I/S",1,"Carulaspis juniperi","Chamaecyparis",41,"CHLA","PORT-ORFORD-CEDAR","Chamaecyparis","lawsoniana","chamaecyparis","0041","CHLA","Port-Orford-cedar","Chamaecyparis","lawsoniana","CHAMAECYPARIS LAWSONIANA"
"POST OAK","QUERCUS STELLATA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",835,"QUST","POST OAK","Quercus","stellata","quercus","0835","QUST","post oak","Quercus","stellata","QUERCUS STELLATA"
"POST OAK","QUERCUS STELLATA","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",835,"QUST","POST OAK","Quercus","stellata","quercus","0835","QUST","post oak","Quercus","stellata","QUERCUS STELLATA"
"PUMPKIN ASH","FRAXINUS PROFUNDA","Oystershell scale (Lepidosaphes ulmi)*","I/S",3,"Lepidosaphes ulmi","Fraxinus",545,"FRPR","PUMPKIN ASH","","profunda","","0545","FRPR","pumpkin ash","","profunda","FRAXINUS PROFUNDA"
"PUMPKIN ASH","FRAXINUS PROFUNDA","Emerald ash borer (Agrilus planipennis)*","I/B",10,"Agrilus planipennis","Fraxinus",545,"FRPR","PUMPKIN ASH","","profunda","","0545","FRPR","pumpkin ash","","profunda","FRAXINUS PROFUNDA"
"RED BUCKEYE","AESCULUS PAVIA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",5,"Anoplophora glabripennis","Aesculus",336,"AEPA","RED BUCKEYE","Aesculus","pavia","aesculus","0336","AEPA","red buckeye","Aesculus","pavia","AESCULUS PAVIA"
"RED MAPLE","ACER RUBRUM","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",8,"Anoplophora glabripennis","Acer",316,"ACRU","RED MAPLE","Acer","rubrum","acer","0316","ACRU","red maple","Acer","rubrum","ACER RUBRUM"
"RED MAPLE","ACER RUBRUM","Oystershell scale (Lepidosaphes ulmi)*","I/S",0,"Lepidosaphes ulmi","Acer",316,"ACRU","RED MAPLE","Acer","rubrum","acer","0316","ACRU","red maple","Acer","rubrum","ACER RUBRUM"
"RED MAPLE","ACER RUBRUM","Japanese beetle (Popillia japonica)*","I/F",0,"Popillia japonica","Acer",316,"ACRU","RED MAPLE","Acer","rubrum","acer","0316","ACRU","red maple","Acer","rubrum","ACER RUBRUM"
"RED MULBERRY","MORUS RUBRA","Pink hibiscus mealybug (Maconellicoccus hirsutus)*","I/S",1,"Maconellicoccus hirsutus","Morus",682,"MORU2","RED MULBERRY","Morus","rubra","morus","0682","MORU2","red mulberry","Morus","rubra","MORUS RUBRA"
"RED PINE","PINUS RESINOSA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",125,"PIRE","RED PINE","","resinosa","","0125","PIRE","red pine","","resinosa","PINUS RESINOSA"
"RED PINE","PINUS RESINOSA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",125,"PIRE","RED PINE","","resinosa","","0125","PIRE","red pine","","resinosa","PINUS RESINOSA"
"RED PINE","PINUS RESINOSA","Red pine scale (Matsucoccus resinosae)*","I/S",3,"Matsucoccus matsumurae","Pinus",125,"PIRE","RED PINE","","resinosa","","0125","PIRE","red pine","","resinosa","PINUS RESINOSA"
"RED WILLOW","SALIX BONPLANDIANA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",1,"Anoplophora glabripennis","Salix",924,"SABO","RED WILLOW","Salix","bonplandiana","salix","0924","SABO","red willow","Salix","bonplandiana","SALIX BONPLANDIANA"
"REDBERRY JUNIPER","JUNIPERUS COAHUILENSIS","Juniper scale (Carulaspis juniperi)*","I/S",1,"Carulaspis juniperi","Juniperus",59,"JUCO11","REDBERRY JUNIPER","Juniperus","coahuilensis","juniperus","0059","JUCO11","redberry juniper","Juniperus","coahuilensis","JUNIPERUS COAHUILENSIS"
"RIVER BIRCH","BETULA NIGRA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",5,"Anoplophora glabripennis","Betula",373,"BENI","RIVER BIRCH","Betula","nigra","betula","0373","BENI","river birch","Betula","nigra","BETULA NIGRA"
"RIVER BIRCH","BETULA NIGRA","Japanese beetle (Popillia japonica)*","I/F",0,"Popillia japonica","Acer",373,"BENI","RIVER BIRCH","Betula","nigra","betula","0373","BENI","river birch","Betula","nigra","BETULA NIGRA"
"RIVER BIRCH","BETULA NIGRA","Oystershell scale (Lepidosaphes ulmi)*","I/S",1,"Lepidosaphes ulmi","Betula",373,"BENI","RIVER BIRCH","Betula","nigra","betula","0373","BENI","river birch","Betula","nigra","BETULA NIGRA"
"RIVER BIRCH","BETULA NIGRA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Betula",373,"BENI","RIVER BIRCH","Betula","nigra","betula","0373","BENI","river birch","Betula","nigra","BETULA NIGRA"
"RIVER BIRCH","BETULA NIGRA","Birch leafminer (Fenusa pusilla)*","I/F",1,"Fenusa pusilla","Betula",373,"BENI","RIVER BIRCH","Betula","nigra","betula","0373","BENI","river birch","Betula","nigra","BETULA NIGRA"
"ROCK ELM","ULMUS THOMASII","Banded elm bark beetle (Scolytus schevyrewi)*","I/B",3,"Scolytus schevyrewi","Ulmus",977,"ULTH","ROCK ELM","Ulmus","thomasii","ulmus","0977","ULTH","rock elm","Ulmus","thomasii","ULMUS THOMASII"
"ROCK ELM","ULMUS THOMASII","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",3,"Anoplophora glabripennis","Ulmus",977,"ULTH","ROCK ELM","Ulmus","thomasii","ulmus","0977","ULTH","rock elm","Ulmus","thomasii","ULMUS THOMASII"
"ROCKY MOUNTAIN BRISTLECONE","PINUS ARISTATA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",102,"PIAR","ROCKY MOUNTAIN BRISTLECONE","","aristata","","0102","PIAR","Rocky Mountain bristlecone","","aristata","PINUS ARISTATA"
"ROCKY MOUNTAIN BRISTLECONE","PINUS ARISTATA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",102,"PIAR","ROCKY MOUNTAIN BRISTLECONE","","aristata","","0102","PIAR","Rocky Mountain bristlecone","","aristata","PINUS ARISTATA"
"ROCKY MOUNTAIN JUNIPER","JUNIPERUS SCOPULORUM","Juniper scale (Carulaspis juniperi)*","I/S",1,"Carulaspis juniperi","Juniperus",66,"JUSC2","ROCKY MOUNTAIN JUNIPER","Juniperus","scopulorum","juniperus","0066","JUSC2","Rocky Mountain juniper","Juniperus","scopulorum","JUNIPERUS SCOPULORUM"
"ROCKY MOUNTAIN MAPLE","ACER GLABRUM","Japanese beetle (Popillia japonica)*","I/F",1,"Popillia japonica","Acer",321,"ACGL","ROCKY MOUNTAIN MAPLE","Acer","glabrum","acer","0321","ACGL","Rocky Mountain maple","Acer","glabrum","ACER GLABRUM"
"ROCKY MOUNTAIN MAPLE","ACER GLABRUM","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",8,"Anoplophora glabripennis","Acer",321,"ACGL","ROCKY MOUNTAIN MAPLE","Acer","glabrum","acer","0321","ACGL","Rocky Mountain maple","Acer","glabrum","ACER GLABRUM"
"ROCKY MOUNTAIN MAPLE","ACER GLABRUM","Oystershell scale (Lepidosaphes ulmi)*","I/S",1,"Lepidosaphes ulmi","Acer",321,"ACGL","ROCKY MOUNTAIN MAPLE","Acer","glabrum","acer","0321","ACGL","Rocky Mountain maple","Acer","glabrum","ACER GLABRUM"
"ROUNDLEAF SERVICEBERRY","AMELANCHIER SANGUINEA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Amelanchier",358,"AMSA","ROUNDLEAF SERVICEBERRY","Amelanchier","sanguinea","amelanchier","0358","AMSA","roundleaf serviceberry","Amelanchier","sanguinea","AMELANCHIER SANGUINEA"
"SAND PINE","PINUS CLAUSA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",107,"PICL","SAND PINE","","clausa","","0107","PICL","sand pine","","clausa","PINUS CLAUSA"
"SAND PINE","PINUS CLAUSA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",107,"PICL","SAND PINE","","clausa","","0107","PICL","sand pine","","clausa","PINUS CLAUSA"
"SCARLET HAWTHORN","CRATAEGUS PEDICELLATA","Winter moth (Operophtera brumata)*","I/F",1,"Operophtera brumata","Crataegus",509,"CRPE","SCARLET HAWTHORN","","pedicellata","","0509","CRPE","scarlet hawthorn","","pedicellata","CRATAEGUS PEDICELLATA"
"SCARLET HAWTHORN","CRATAEGUS PEDICELLATA","Cherry bark tortrix (Enarmonia formosana)*","I/B",3,"Enarmonia formosana","Crataegus",509,"CRPE","SCARLET HAWTHORN","","pedicellata","","0509","CRPE","scarlet hawthorn","","pedicellata","CRATAEGUS PEDICELLATA"
"SCARLET OAK","QUERCUS COCCINEA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",806,"QUCO2","SCARLET OAK","Quercus","coccinea","quercus","0806","QUCO2","scarlet oak","Quercus","coccinea","QUERCUS COCCINEA"
"SCARLET OAK","QUERCUS COCCINEA","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",806,"QUCO2","SCARLET OAK","Quercus","coccinea","quercus","0806","QUCO2","scarlet oak","Quercus","coccinea","QUERCUS COCCINEA"
"SCOULER’S WILLOW","SALIX SCOULERIANA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",1,"Anoplophora glabripennis","Salix",928,"SASC","SCOULER’S WILLOW","Salix","scouleriana","salix","0928","SASC","Scouler’s willow","Salix","scouleriana","SALIX SCOULERIANA"
"SCRUB OAK","QUERCUS ILICIFOLIA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",816,"QUIL","SCRUB OAK","Quercus","ilicifolia","quercus","0816","QUIL","scrub oak","Quercus","ilicifolia","QUERCUS ILICIFOLIA"
"SCRUB OAK","QUERCUS ILICIFOLIA","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",816,"QUIL","SCRUB OAK","Quercus","ilicifolia","quercus","0816","QUIL","scrub oak","Quercus","ilicifolia","QUERCUS ILICIFOLIA"
"SEPTEMBER ELM","ULMUS SEROTINA","Banded elm bark beetle (Scolytus schevyrewi)*","I/B",0,"Scolytus schevyrewi","Ulmus",976,"ULSE","SEPTEMBER ELM","Ulmus","serotina","ulmus","0976","ULSE","September elm","Ulmus","serotina","ULMUS SEROTINA"
"SEPTEMBER ELM","ULMUS SEROTINA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",3,"Anoplophora glabripennis","Ulmus",976,"ULSE","SEPTEMBER ELM","Ulmus","serotina","ulmus","0976","ULSE","September elm","Ulmus","serotina","ULMUS SEROTINA"
"SHINGLE OAK","QUERCUS IMBRICARIA","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",817,"QUIM","SHINGLE OAK","Quercus","imbricaria","quercus","0817","QUIM","shingle oak","Quercus","imbricaria","QUERCUS IMBRICARIA"
"SHINGLE OAK","QUERCUS IMBRICARIA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",817,"QUIM","SHINGLE OAK","Quercus","imbricaria","quercus","0817","QUIM","shingle oak","Quercus","imbricaria","QUERCUS IMBRICARIA"
"SHORTLEAF PINE","PINUS ECHINATA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",110,"PIEC2","SHORTLEAF PINE","","echinata","","0110","PIEC2","shortleaf pine","","echinata","PINUS ECHINATA"
"SHORTLEAF PINE","PINUS ECHINATA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",110,"PIEC2","SHORTLEAF PINE","","echinata","","0110","PIEC2","shortleaf pine","","echinata","PINUS ECHINATA"
"SHUMARD’S OAK","QUERCUS SHUMARDII","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",834,"QUSH","SHUMARD’S OAK","Quercus","shumardii","quercus","0834","QUSH","Shumard’s oak","Quercus","shumardii","QUERCUS SHUMARDII"
"SHUMARD’S OAK","QUERCUS SHUMARDII","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",834,"QUSH","SHUMARD’S OAK","Quercus","shumardii","quercus","0834","QUSH","Shumard’s oak","Quercus","shumardii","QUERCUS SHUMARDII"
"SILVER MAPLE","ACER SACCHARINUM","Japanese beetle (Popillia japonica)*","I/F",1,"Popillia japonica","Acer",317,"ACSA2","SILVER MAPLE","Acer","saccharinum","acer","0317","ACSA2","silver maple","Acer","saccharinum","ACER SACCHARINUM"
"SILVER MAPLE","ACER SACCHARINUM","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",8,"Anoplophora glabripennis","Acer",317,"ACSA2","SILVER MAPLE","Acer","saccharinum","acer","0317","ACSA2","silver maple","Acer","saccharinum","ACER SACCHARINUM"
"SILVER MAPLE","ACER SACCHARINUM","Oystershell scale (Lepidosaphes ulmi)*","I/S",0,"Lepidosaphes ulmi","Acer",317,"ACSA2","SILVER MAPLE","Acer","saccharinum","acer","0317","ACSA2","silver maple","Acer","saccharinum","ACER SACCHARINUM"
"SILVERLEAF OAK","QUERCUS HYPOLEUCOIDES","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",843,"QUHY","SILVERLEAF OAK","","hypoleucoides","","0843","QUHY","silverleaf oak","","hypoleucoides","QUERCUS HYPOLEUCOIDES"
"SINGLELEAF PINYON","PINUS MONOPHYLLA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",133,"PIMO","SINGLELEAF PINYON","","monophylla","","0133","PIMO","singleleaf pinyon","","monophylla","PINUS MONOPHYLLA"
"SINGLELEAF PINYON","PINUS MONOPHYLLA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",133,"PIMO","SINGLELEAF PINYON","","monophylla","","0133","PIMO","singleleaf pinyon","","monophylla","PINUS MONOPHYLLA"
"SLASH PINE","PINUS ELLIOTTII","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",111,"PIEL","SLASH PINE","","elliottii","","0111","PIEL","slash pine","","elliottii","PINUS ELLIOTTII"
"SLASH PINE","PINUS ELLIOTTII","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",111,"PIEL","SLASH PINE","","elliottii","","0111","PIEL","slash pine","","elliottii","PINUS ELLIOTTII"
"SLIPPERY ELM","ULMUS RUBRA","Banded elm bark beetle (Scolytus schevyrewi)*","I/B",0,"Scolytus schevyrewi","Ulmus",975,"ULRU","SLIPPERY ELM","Ulmus","rubra","ulmus","0975","ULRU","slippery elm","Ulmus","rubra","ULMUS RUBRA"
"SLIPPERY ELM","ULMUS RUBRA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",3,"Anoplophora glabripennis","Ulmus",975,"ULRU","SLIPPERY ELM","Ulmus","rubra","ulmus","0975","ULRU","slippery elm","Ulmus","rubra","ULMUS RUBRA"
"SOUTHERN RED OAK","QUERCUS FALCATA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",812,"QUFA","SOUTHERN RED OAK","Quercus","falcata","quercus","0812","QUFA","southern red oak","Quercus","falcata","QUERCUS FALCATA"
"SOUTHERN RED OAK","QUERCUS FALCATA","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",812,"QUFA","SOUTHERN RED OAK","Quercus","falcata","quercus","0812","QUFA","southern red oak","Quercus","falcata","QUERCUS FALCATA"
"SOUTHERN REDCEDAR","JUNIPERUS VIRGINIANA VAR. SILICICOLA","Juniper scale (Carulaspis juniperi)*","I/S",1,"Carulaspis juniperi","Juniperus",67,"JUVIS","SOUTHERN REDCEDAR","Juniperus","virginiana var. silicicola","juniperus","0067","JUVIS","southern redcedar","Juniperus","virginiana var. silicicola","JUNIPERUS VIRGINIANA VAR. SILICICOLA"
"SOUTHWESTERN WHITE PINE","PINUS STROBIFORMIS","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",114,"PIST3","SOUTHWESTERN WHITE PINE","","strobiformis","","0114","PIST3","southwestern white pine","","strobiformis","PINUS STROBIFORMIS"
"SOUTHWESTERN WHITE PINE","PINUS STROBIFORMIS","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",114,"PIST3","SOUTHWESTERN WHITE PINE","","strobiformis","","0114","PIST3","southwestern white pine","","strobiformis","PINUS STROBIFORMIS"
"SPANISH OAK, BUCKLEY OAK,","QUERCUS BUCKLEYI","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",8513,"QUBU2","SPANISH OAK, BUCKLEY OAK,","","buckleyi","","8513","QUBU2","Spanish oak, Buckley oak,","","buckleyi","QUERCUS BUCKLEYI"
"SPANISH OAK, BUCKLEY OAK,","QUERCUS BUCKLEYI","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",8513,"QUBU2","SPANISH OAK, BUCKLEY OAK,","","buckleyi","","8513","QUBU2","Spanish oak, Buckley oak,","","buckleyi","QUERCUS BUCKLEYI"
"SPRUCE PINE","PINUS GLABRA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",115,"PIGL2","SPRUCE PINE","","glabra","","0115","PIGL2","spruce pine","","glabra","PINUS GLABRA"
"SPRUCE PINE","PINUS GLABRA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",115,"PIGL2","SPRUCE PINE","","glabra","","0115","PIGL2","spruce pine","","glabra","PINUS GLABRA"
"STRIPED MAPLE","ACER PENSYLVANICUM","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",8,"Anoplophora glabripennis","Acer",315,"ACPE","STRIPED MAPLE","Acer","pensylvanicum","acer","0315","ACPE","striped maple","Acer","pensylvanicum","ACER PENSYLVANICUM"
"STRIPED MAPLE","ACER PENSYLVANICUM","Japanese beetle (Popillia japonica)*","I/F",1,"Popillia japonica","Acer",315,"ACPE","STRIPED MAPLE","Acer","pensylvanicum","acer","0315","ACPE","striped maple","Acer","pensylvanicum","ACER PENSYLVANICUM"
"STRIPED MAPLE","ACER PENSYLVANICUM","Oystershell scale (Lepidosaphes ulmi)*","I/S",0,"Lepidosaphes ulmi","Acer",315,"ACPE","STRIPED MAPLE","Acer","pensylvanicum","acer","0315","ACPE","striped maple","Acer","pensylvanicum","ACER PENSYLVANICUM"
"SUBALPINE FIR","ABIES LASIOCARPA","Balsam woolly adelgid (Adelges piceae)*","I/S",8,"Adelges piceae","Abies",19,"ABLA","SUBALPINE FIR","Abies","lasiocarpa","abies","0019","ABLA","subalpine fir","Abies","lasiocarpa","ABIES LASIOCARPA"
"SUBALPINE LARCH","LARIX LYALLII","Larch sawfly (Pristiphora erichsonii)","I/F",1,"Pristiphora erichsonii","Larix",72,"LALY","SUBALPINE LARCH","Larix","lyallii","larix","0072","LALY","subalpine larch","Larix","lyallii","LARIX LYALLII"
"SUGAR MAPLE","ACER SACCHARUM","Oystershell scale (Lepidosaphes ulmi)*","I/S",0,"Lepidosaphes ulmi","Acer",318,"ACSA3","SUGAR MAPLE","Acer","saccharum","acer","0318","ACSA3","sugar maple","Acer","saccharum","ACER SACCHARUM"
"SUGAR MAPLE","ACER SACCHARUM","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",8,"Anoplophora glabripennis","Acer",318,"ACSA3","SUGAR MAPLE","Acer","saccharum","acer","0318","ACSA3","sugar maple","Acer","saccharum","ACER SACCHARUM"
"SUGAR MAPLE","ACER SACCHARUM","Japanese beetle (Popillia japonica)*","I/F",0,"Popillia japonica","Acer",318,"ACSA3","SUGAR MAPLE","Acer","saccharum","acer","0318","ACSA3","sugar maple","Acer","saccharum","ACER SACCHARUM"
"SUGAR PINE","PINUS LAMBERTIANA","Pine shoot beetle (Tomicus piniperda)*","I/B",0,"Tomicus piniperda","Pinus",117,"PILA","SUGAR PINE","","lambertiana","","0117","PILA","sugar pine","","lambertiana","PINUS LAMBERTIANA"
"SUGAR PINE","PINUS LAMBERTIANA","European pine sawfly (Neodiprion sertifer)*","I/F",0,"Neodiprion sertifer","Pinus",117,"PILA","SUGAR PINE","","lambertiana","","0117","PILA","sugar pine","","lambertiana","PINUS LAMBERTIANA"
"SWAMP CHESTNUT OAK","QUERCUS MICHAUXII","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",825,"QUMI","SWAMP CHESTNUT OAK","Quercus","michauxii","quercus","0825","QUMI","swamp chestnut oak","Quercus","michauxii","QUERCUS MICHAUXII"
"SWAMP CHESTNUT OAK","QUERCUS MICHAUXII","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",825,"QUMI","SWAMP CHESTNUT OAK","Quercus","michauxii","quercus","0825","QUMI","swamp chestnut oak","Quercus","michauxii","QUERCUS MICHAUXII"
"SWAMP COTTONWOOD","POPULUS HETEROPHYLLA","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Populus",744,"POHE4","SWAMP COTTONWOOD","Populus","heterophylla","populus","0744","POHE4","swamp cottonwood","Populus","heterophylla","POPULUS HETEROPHYLLA"
"SWAMP WHITE OAK","QUERCUS BICOLOR","Gypsy moth (Lymantria dispar dispar)*","I/F",3,"Lymantria dispar","Quercus",804,"QUBI","SWAMP WHITE OAK","Quercus","bicolor","quercus","0804","QUBI","swamp white oak","Quercus","bicolor","QUERCUS BICOLOR"
"SWAMP WHITE OAK","QUERCUS BICOLOR","Oak pit scale (Asterolecanium spp.)*","I/S",0,"Asterolecanium variolosum","Quercus",804,"QUBI","SWAMP WHITE OAK","Quercus","bicolor","quercus","0804","QUBI","swamp white oak","Quercus","bicolor","QUERCUS BICOLOR"
"SWEET BIRCH","BETULA LENTA","Oystershell scale (Lepidosaphes ulmi)*","I/S",0,"Lepidosaphes ulmi","Acer",372,"BELE","SWEET BIRCH","Betula","lenta","betula","0372","BELE","sweet birch","Betula","lenta","BETULA LENTA"
"SWEET BIRCH","BETULA LENTA","Gypsy moth (Lymantria dispar dispar)*","I/F",1,"Lymantria dispar","Betula",372,"BELE","SWEET BIRCH","Betula","lenta","betula","0372","BELE","sweet birch","Betula","lenta","BETULA LENTA"
"SWEET BIRCH","BETULA LENTA","Asian longhorned beetle (Anoplophora glabripennis)*","I/B",5,"Anoplophora glabripennis","Betula",372,"BELE","SWEET BIRCH","Betula","lenta","betula","0372","BELE","sweet birch","Betula","lenta","BETULA LENTA"
