"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1404",0,1853,1853,2470,0,2686,0,0,0
"1405",0,1854,1854,2471,0,2687,0,0,0
"1406",0,1855,1855,2472,0,2688,0,0,0
"1407",0,1856,1856,2473,0,2696,0,0,0
"1408",0,1857,1857,2474,0,2700,0,0,0
"1409",0,1858,1858,2475,0,2701,0,0,0
"1410",0,1859,1859,2476,0,2702,0,0,0
"1411",0,1860,1860,2477,0,2705,0,0,0
"1412",0,1863,1863,2478,0,2706,0,0,0
"1413",0,1864,1864,2479,0,2707,0,0,0
"1414",0,1866,1866,2480,0,2708,0,0,0
"1415",0,1867,1867,2484,0,2709,0,0,0
"1416",0,1868,1868,2485,0,2710,0,0,0
"1417",0,1870,1870,2493,0,2713,0,0,0
"1418",0,1871,1871,2494,0,2715,0,0,0
"1419",0,1872,1872,2502,0,2716,0,0,0
"1420",0,1873,1873,2503,0,2717,0,0,0
"1421",0,1874,1874,2504,0,2718,0,0,0
"1422",0,1875,1875,2505,0,2719,0,0,0
"1423",0,1878,1878,2506,0,2720,0,0,0
"1424",0,1879,1879,2507,0,2721,0,0,0
"1425",0,1880,1880,2513,0,2722,0,0,0
"1426",0,1881,1881,2514,0,2723,0,0,0
"1427",0,1882,1882,2515,0,2724,0,0,0
"1428",0,1883,1883,2517,0,2725,0,0,0
"1429",0,1884,1884,2518,0,2726,0,0,0
"1430",0,1885,1885,2519,0,2727,0,0,0
"1431",0,1888,1888,2521,0,2728,0,0,0
"1432",0,1889,1889,2522,0,2729,0,0,0
"1433",0,1890,1890,2523,0,2730,0,0,0
"1434",0,1891,1891,2524,0,2733,0,0,0
"1435",0,1892,1892,2525,0,2734,0,0,0
"1436",0,1893,1893,2526,0,2735,0,0,0
"1437",0,1894,1894,2527,0,2738,0,0,0
"1438",0,1895,1895,2541,0,2739,0,0,0
"1439",0,1899,1899,2542,0,2740,0,0,0
"1440",0,1900,1900,2543,0,2741,0,0,0
"1441",0,1901,1901,2544,0,2742,0,0,0
"1442",0,1902,1902,2545,0,2743,0,0,0
"1443",0,1903,1903,2546,0,2744,0,0,0
"1444",0,1904,1904,2547,0,2745,0,0,0
"1445",0,1905,1905,2548,0,2746,0,0,0
"1446",0,1906,1906,2549,0,2747,0,0,0
"1447",0,1907,1907,2550,0,2748,0,0,0
"1448",0,1908,1908,2551,0,2749,0,0,0
"1449",0,1909,1909,2552,0,2750,0,0,0
"1450",0,1910,1910,2553,0,2751,0,0,0
"1451",0,1911,1911,2554,0,2753,0,0,0
"1452",0,1912,1912,2555,0,2754,0,0,0
"1453",0,1913,1913,2556,0,2755,0,0,0
"1454",0,1914,1914,2557,0,2756,0,0,0
"1455",0,1921,1921,2558,0,2757,0,0,0
"1456",0,1922,1922,2559,0,2758,0,0,0
"1457",0,1923,1923,2560,0,2759,0,0,0
"1458",0,1924,1924,2561,0,2760,0,0,0
"1459",0,1925,1925,2562,0,2761,0,0,0
"1460",0,1927,1927,2563,0,2762,0,0,0
"1461",0,1928,1928,2566,0,2763,0,0,0
"1462",0,1929,1929,2567,0,2764,0,0,0
"1463",0,1930,1930,2568,0,2765,0,0,0
"1464",0,1931,1931,2569,0,2766,0,0,0
"1465",0,1932,1932,2570,0,2767,0,0,0
"1466",0,1933,1933,2571,0,2768,0,0,0
"1467",0,1934,1934,2572,0,2769,0,0,0
"1468",0,1935,1935,2573,0,2771,0,0,0
"1469",0,1936,1936,2574,0,2772,0,0,0
"1470",0,1937,1937,2575,0,2773,0,0,0
"1471",0,1938,1938,2576,0,2774,0,0,0
"1472",0,1939,1939,2577,0,2775,0,0,0
"1473",0,1940,1940,2578,0,2776,0,0,0
"1474",0,1941,1941,2579,0,2777,0,0,0
"1475",0,1942,1942,2584,0,2778,0,0,0
"1476",0,1943,1943,2585,0,2779,0,0,0
"1477",0,1944,1944,2586,0,2780,0,0,0
"1478",0,1945,1945,2588,0,2781,0,0,0
"1479",0,1946,1946,2589,0,2782,0,0,0
"1480",0,1947,1947,2590,0,2783,0,0,0
"1481",0,1948,1948,2592,0,2784,0,0,0
"1482",0,1949,1949,2607,0,2785,0,0,0
"1483",0,1950,1950,2609,0,2786,0,0,0
"1484",0,1951,1951,2610,0,2787,0,0,0
"1485",0,1952,1952,2611,0,2788,0,0,0
"1486",0,1953,1953,2614,0,2789,0,0,0
"1487",0,1954,1954,2615,0,2792,0,0,0
"1488",0,1955,1955,2616,0,2793,0,0,0
"1489",0,1956,1956,2617,0,2794,0,0,0
"1490",0,1957,1957,2618,0,2795,0,0,0
"1491",0,1958,1958,2619,0,2796,0,0,0
"1492",0,1959,1959,2620,0,2797,0,0,0
"1493",0,1960,1960,2621,0,2798,0,0,0
"1494",0,1969,1969,2622,0,2799,0,0,0
"1495",0,1970,1970,2623,0,2801,0,0,0
