genus,pest,genus.1,severity,clean_pest,genus2
Fraxinus cuspidata,Emerald ash borer (Agrilus planipennis)*,I/B,9,Agrilus planipennis,Fraxinus
Fraxinus cuspidata,Oystershell scale (Lepidosaphes ulmi)*,I/S,3,Lepidosaphes ulmi,Fraxinus
Fraxinus dipetala,Emerald ash borer (Agrilus planipennis)*,I/B,8,Agrilus planipennis,Fraxinus
Fraxinus dipetala,Oystershell scale (Lepidosaphes ulmi)*,I/S,3,Lepidosaphes ulmi,Fraxinus
Fraxinus greggii,Emerald ash borer (Agrilus planipennis)*,I/B,9,Agrilus planipennis,Fraxinus
Fraxinus greggii,Oystershell scale (Lepidosaphes ulmi)*,I/S,3,Lepidosaphes ulmi,Fraxinus
Fraxinus latifolia,Emerald ash borer (Agrilus planipennis)*,I/B,8,Agrilus planipennis,Fraxinus
Fraxinus latifolia,Oystershell scale (Lepidosaphes ulmi)*,I/S,3,Lepidosaphes ulmi,Fraxinus
Fraxinus nigra,Emerald ash borer (Agrilus planipennis)*,I/B,10,Agrilus planipennis,Fraxinus
Fraxinus nigra,Oystershell scale (Lepidosaphes ulmi)*,I/S,3,Lepidosaphes ulmi,Fraxinus
Fraxinus papillosa,Emerald ash borer (Agrilus planipennis)*,I/B,9,Agrilus planipennis,Fraxinus
Fraxinus papillosa,Oystershell scale (Lepidosaphes ulmi)*,I/S,3,Lepidosaphes ulmi,Fraxinus
Fraxinus pennsylvanica,Emerald ash borer (Agrilus planipennis)*,I/B,10,Agrilus planipennis,Fraxinus
Fraxinus pennsylvanica,Oystershell scale (Lepidosaphes ulmi)*,I/S,3,Lepidosaphes ulmi,Fraxinus
Fraxinus profunda,Emerald ash borer (Agrilus planipennis)*,I/B,10,Agrilus planipennis,Fraxinus
Fraxinus profunda,Oystershell scale (Lepidosaphes ulmi)*,I/S,3,Lepidosaphes ulmi,Fraxinus
Fraxinus quadrangulata,Emerald ash borer (Agrilus planipennis)*,I/B,8,Agrilus planipennis,Fraxinus
Fraxinus quadrangulata,Oystershell scale (Lepidosaphes ulmi)*,I/S,3,Lepidosaphes ulmi,Fraxinus
Fraxinus texensis,Emerald ash borer (Agrilus planipennis)*,I/B,9,Agrilus planipennis,Fraxinus
Fraxinus texensis,Oystershell scale (Lepidosaphes ulmi)*,I/S,3,Lepidosaphes ulmi,Fraxinus
Fraxinus velutina,Emerald ash borer (Agrilus planipennis)*,I/B,9,Agrilus planipennis,Fraxinus
Fraxinus velutina,Oystershell scale (Lepidosaphes ulmi)*,I/S,3,Lepidosaphes ulmi,Fraxinus
Gleditsia aquatica,Calico scale (Eulecanium cerasorum)*,I/S,1,Eulecanium cerasorum,Gleditsia
Gleditsia aquatica,Mimosa webworm (Homadaula anisocentra)*,I/F,1,Homadaula anisocentra,Gleditsia
Gleditsia triacanthos,Calico scale (Eulecanium cerasorum)*,I/S,1,Eulecanium cerasorum,Gleditsia
Juniperus ashei,Juniper scale (Carulaspis juniperi)*,I/S,1,Carulaspis juniperi,Juniperus
Juniperus californica,Juniper scale (Carulaspis juniperi)*,I/S,1,Carulaspis juniperi,Juniperus
Juniperus coahuilensis,Juniper scale (Carulaspis juniperi)*,I/S,1,Carulaspis juniperi,Juniperus
Juniperus deppeana,Juniper scale (Carulaspis juniperi)*,I/S,1,Carulaspis juniperi,Juniperus
Juniperus occidentalis,Juniper scale (Carulaspis juniperi)*,I/S,1,Carulaspis juniperi,Juniperus
Juniperus osteosperma,Juniper scale (Carulaspis juniperi)*,I/S,1,Carulaspis juniperi,Juniperus
Juniperus pinchotii,Juniper scale (Carulaspis juniperi)*,I/S,1,Carulaspis juniperi,Juniperus
Juniperus scopulorum,Juniper scale (Carulaspis juniperi)*,I/S,1,Carulaspis juniperi,Juniperus
Juniperus virginiana,Juniper scale (Carulaspis juniperi)*,I/S,1,Carulaspis juniperi,Juniperus
Juniperus virginiana var. silicicola,Juniper scale (Carulaspis juniperi)*,I/S,1,Carulaspis juniperi,Juniperus
Larix laricina,Larch casebearer (Coleophora laricella)*,I/F,5,Coleophora laricella,Larix
Larix laricina,Larch sawfly (Pristiphora erichsonii),I/F,5,Pristiphora erichsonii,Larix
Larix laricina,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Larix
Larix lyallii,Larch sawfly (Pristiphora erichsonii),I/F,1,Pristiphora erichsonii,Larix
Larix occidentalis,Larch casebearer (Coleophora laricella)*,I/F,3,Coleophora laricella,Larix
Larix occidentalis,Larch sawfly (Pristiphora erichsonii),I/F,3,Pristiphora erichsonii,Larix
Liquidambar styraciflua,Calico scale (Eulecanium cerasorum)*,I/S,1,Eulecanium cerasorum,Liquidambar
Liquidambar styraciflua,Gypsy moth (Lymantria dispar dispar)*,I/F,1,Lymantria dispar,Liquidambar
Morus microphylla,Pink hibiscus mealybug (Maconellicoccus hirsutus)*,I/S,1,Maconellicoccus hirsutus,Morus
Morus rubra,Pink hibiscus mealybug (Maconellicoccus hirsutus)*,I/S,1,Maconellicoccus hirsutus,Morus
Ostrya virginiana,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Ostrya
Pinus pungens,European pine sawfly (Neodiprion sertifer)*,I/F,1,Neodiprion sertifer,Pinus
Pinus resinosa,Red pine scale (Matsucoccus resinosae)*,I/S,3,Matsucoccus matsumurae,Pinus
Pinus strobus,Pine shoot beetle (Tomicus piniperda)*,I/B,1,Tomicus piniperda,Pinus
Populus angustifolia,Poplar-and-willow borer (Cryptorhynchus lapathi)*,I/B,1,Cryptorhynchus lapathi,Populus
Populus balsamifera,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Populus
Populus balsamifera,Oystershell scale (Lepidosaphes ulmi)*,I/S,1,Lepidosaphes ulmi,Populus
Populus balsamifera ssp. trichocarpa,Oystershell scale (Lepidosaphes ulmi)*,I/S,1,Lepidosaphes ulmi,Populus
Populus balsamifera ssp. trichocarpa,Poplar-and-willow borer (Cryptorhynchus lapathi)*,I/B,1,Cryptorhynchus lapathi,Populus
Populus grandidentata,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Populus
Populus heterophylla,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Populus
Quercus acerifolia,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus agrifolia,Oak pit scale (Asterolecanium spp.)*,I/S,3,Asterolecanium variolosum,Quercus
Quercus alba,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus arkansana,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus bicolor,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus boyntonii,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus buckleyi,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus chrysolepis,Oak pit scale (Asterolecanium spp.)*,I/S,3,Asterolecanium variolosum,Quercus
Quercus coccinea,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus douglasii,Oak pit scale (Asterolecanium spp.)*,I/S,3,Asterolecanium variolosum,Quercus
Quercus ellipsoidalis,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus engelmannii,Oak pit scale (Asterolecanium spp.)*,I/S,3,Asterolecanium variolosum,Quercus
Quercus falcata,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus garryana,Oak pit scale (Asterolecanium spp.)*,I/S,3,Asterolecanium variolosum,Quercus
Quercus georgiana,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus ilicifolia,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus imbricaria,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus incana,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus kelloggii,Oak pit scale (Asterolecanium spp.)*,I/S,3,Asterolecanium variolosum,Quercus
Quercus laevis,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus laurifolia,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus lobata,Oak pit scale (Asterolecanium spp.)*,I/S,3,Asterolecanium variolosum,Quercus
Quercus lyrata,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus macrocarpa,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus margaretta,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus marilandica,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus michauxii,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus minima,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus muehlenbergii,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus myrtifolia,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus nigra,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus oglethorpensis,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus pagoda,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus palustris,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus phellos,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus prinoides,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus prinus,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus rubra,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus shumardii,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus similis,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus sinuata,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus stellata,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus texana,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus tomentella,Oak pit scale (Asterolecanium spp.)*,I/S,3,Asterolecanium variolosum,Quercus
Quercus velutina,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus virginiana,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Quercus
Quercus wislizeni,Oak pit scale (Asterolecanium spp.)*,I/S,3,Asterolecanium variolosum,Quercus
Sorbus americana,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Sorbus
Sorbus decora,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Sorbus
Taxus brevifolia,Black vine weevil (Otiorhynchus sulcatus)*,I/F,1,Otiorhynchus sulcatus,Taxus
Tilia americana,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Tilia
Tilia americana,Japanese beetle (Popillia japonica)*,I/F,1,Popillia japonica,Tilia
Tilia americana var. caroliniana,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Tilia
Tilia americana var. caroliniana,Japanese beetle (Popillia japonica)*,I/F,1,Popillia japonica,Tilia
Tilia americana var. heterophylla,Gypsy moth (Lymantria dispar dispar)*,I/F,3,Lymantria dispar,Tilia
Tilia americana var. heterophylla,Japanese beetle (Popillia japonica)*,I/F,1,Popillia japonica,Tilia
Tsuga canadensis,Hemlock woolly adelgid (Adelges tsugae)*,I/S,10,Adelges tsugae,Tsuga
Tsuga canadensis,Elongate hemlock scale (Fiorinia externa)*,I/S,3,Fiorinia externa,Tsuga
Tsuga caroliniana,Hemlock woolly adelgid (Adelges tsugae)*,I/S,10,Adelges tsugae,Tsuga
Tsuga caroliniana,Elongate hemlock scale (Fiorinia externa)*,I/S,3,Fiorinia externa,Tsuga
Ulmus alata,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,3,Anoplophora glabripennis,Ulmus
Ulmus americana,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,3,Anoplophora glabripennis,Ulmus
Ulmus americana,Banded elm bark beetle (Scolytus schevyrewi)*,I/B,3,Scolytus schevyrewi,Ulmus
Ulmus crassifolia,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,3,Anoplophora glabripennis,Ulmus
Ulmus rubra,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,3,Anoplophora glabripennis,Ulmus
Ulmus serotina,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,3,Anoplophora glabripennis,Ulmus
Ulmus thomasii,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,3,Anoplophora glabripennis,Ulmus
Ulmus thomasii,Banded elm bark beetle (Scolytus schevyrewi)*,I/B,3,Scolytus schevyrewi,Ulmus
Salix alaxensis,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,1,Anoplophora glabripennis,Salix
Salix amygdaloides,Gypsy Moth (Lymantria dispar dispar),I/F,3,Lymantria dispar,Salix
Salix amygdaloides,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,1,Anoplophora glabripennis,Salix
Salix arbusculoides,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,1,Anoplophora glabripennis,Salix
Salix bebbiama,Gypsy Moth (Lymantria dispar dispar),I/F,3,Lymantria dispar,Salix
Salix bebbiama,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,1,Anoplophora glabripennis,Salix
Salix bonplandiana,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,1,Anoplophora glabripennis,Salix
Salix caroliniana,Gypsy Moth (Lymantria dispar dispar),I/F,3,Lymantria dispar,Salix
Salix caroliniana,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,1,Anoplophora glabripennis,Salix
Salix laevigata,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,1,Anoplophora glabripennis,Salix
Salix lasiolepis,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,1,Anoplophora glabripennis,Salix
Salix lucida ssp. Lasiandra,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,1,Anoplophora glabripennis,Salix
Salix nigra,Gypsy Moth (Lymantria dispar dispar),I/F,3,Lymantria dispar,Salix
Salix nigra,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,1,Anoplophora glabripennis,Salix
Salix pyrifolia,Gypsy Moth (Lymantria dispar dispar),I/F,3,Lymantria dispar,Salix
Salix pyrifolia,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,1,Anoplophora glabripennis,Salix
Salix scouleriana,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,1,Anoplophora glabripennis,Salix
Salix taxifolia,Asian longhorned beetle (Anoplophora glabripennis)*,I/B,1,Anoplophora glabripennis,Salix
Sapindus drummondii,Soapberry borer (Agrilus prionurus)*,I/B,8,Agrilus prionurus,Sapindus
Sassafras albidum sassafras,Japanese beetle (Popillia japonica)*,I/F,1,Popillia japonica,Sassafras
Abies bracteata,Balsam woolly adelgid (Adelges piceae)*,I/S,0,Adelges piceae,Abies
