"","SB_pres","RPBB_pres","MPEB_pres","BEBB_pres","CBT_pres","EFW_pres","LW_pres","EP_pres","PHM_pres"
"950",-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"951",-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"952",-0.103848,-0.092848072,-0.092848072,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"953",-0.103848,0.219321922,0.219321922,-0.103825804,-0.103848,-0.103825804,-0.103848,-0.103848,-0.103848
"954",-0.103848,-0.095216,-0.095216,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"955",-0.103848,-0.056569669,-0.056569669,-0.103776326,-0.103848,-0.103776326,-0.103848,-0.103848,-0.103848
"956",-0.103848,-0.095216,-0.095216,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"957",-0.103429,0.597796203,0.597796203,-0.103733215,0.025891562,-0.103733215,-0.103848,-0.103848,-0.103848
"958",-0.103848,0.177740266,0.177740266,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"959",-0.103848,0.194814628,0.194814628,-0.103721245,-0.103848,-0.103721245,-0.103848,-0.103848,-0.103848
"960",-0.103848,0.498649503,0.498649503,-0.103134257,-0.103848,-0.103134257,-0.103848,-0.103848,-0.103848
"961",-0.103848,-0.05369387,-0.05369387,-0.101857987,0.034052764,-0.101857987,-0.103848,-0.103848,-0.103848
"962",-0.103848,-0.058923206,-0.058923206,-0.101610955,0.034003825,-0.101610955,-0.103848,-0.103848,-0.103848
"963",-0.103848,-0.09454894,-0.09454894,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.095960253
"964",-0.103848,-0.081445568,-0.081445568,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103682316
"965",-0.103848,0.670199182,0.670199182,-0.089267957,-0.036356338,-0.089267957,-0.103848,-0.103848,-0.103848
"966",-0.103848,-0.08184516,-0.08184516,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103480935
"967",-0.103848,-0.090629984,-0.090629984,-0.103542081,-0.103848,-0.103542081,-0.103848,-0.103848,-0.10113881
"968",-0.103848,0.119319002,0.119319002,-0.103848,0.061044408,-0.103848,-0.103848,-0.103848,-0.103848
"969",-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.101180004,-0.103848,-0.076394372
"970",-0.103848,0.421744023,0.421744023,-0.103746914,0.023365894,-0.103746914,-0.103848,-0.103848,-0.103848
"971",-0.103344597,0.750443211,0.750443211,-0.103710093,-0.034716861,-0.103710093,-0.103848,-0.103848,-0.103848
"972",-0.103848,0.699323072,0.699323072,-0.101827267,-0.076755598,-0.101827267,-0.103848,-0.103848,-0.103726736
"973",-0.103848,0.832167338,0.832167338,-0.100814776,-0.08277396,-0.100814776,-0.103848,-0.103848,-0.103693972
"974",-0.103848,0.527309645,0.527309645,-0.101992054,-0.058193756,-0.101992054,-0.103848,-0.103848,-0.103736625
"975",-0.103290911,-0.103848,-0.103848,-0.099341634,-0.093087905,-0.099341634,-0.103848,-0.103848,-0.101200012
"976",-0.103848,-0.063236683,-0.063236683,-0.074948263,-0.094529792,-0.074948263,-0.103848,-0.103848,-0.103387321
"977",-0.103848,0.229912034,0.229912034,-0.103460691,-0.103848,-0.103460691,-0.103848,-0.103848,-0.103848
"978",-0.103848,0.191725596,0.191725596,-0.103485783,-0.103848,-0.103485783,-0.103848,-0.103848,-0.103848
"979",-0.103848,-0.103848,-0.103848,-0.097573914,-0.098733959,-0.097573914,-0.103848,-0.103848,-0.103848
"980",-0.103848,-0.103848,-0.103848,-0.101964426,-0.099589057,-0.101964426,-0.103848,-0.103848,-0.103848
"981",-0.103019465,-0.103848,-0.103848,-0.095918761,-0.094230443,-0.095918761,-0.103848,-0.103848,-0.100806069
"982",-0.103848,-0.103848,-0.103848,-0.097987428,-0.102434588,-0.097987428,-0.103848,-0.103848,-0.102878264
"983",-0.103848,1.176021116,1.176021116,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"984",-0.103598386,0.520132604,0.520132604,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.102280237
"985",-0.103848,1.147472311,1.147472311,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"986",-0.103848,0.890350042,0.890350042,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"987",-0.103848,0.751410747,0.751410747,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"988",-0.103848,-0.103848,-0.103848,-0.094191672,-0.099631934,-0.094191672,-0.103848,-0.103848,-0.097467471
"989",-0.103848,-0.103848,-0.103848,-0.09193539,-0.094342876,-0.09193539,-0.103848,-0.103848,-0.102126085
"990",-0.103848,-0.102288427,-0.102288427,-0.101750359,-0.098813923,-0.101750359,-0.103848,-0.103848,-0.098372539
"991",-0.103848,-0.102324072,-0.102324072,-0.103578876,-0.102891458,-0.103578876,-0.103848,-0.103848,-0.097839179
"992",-0.103848,-0.015779772,-0.015779772,-0.100575559,0.079415137,-0.100575559,-0.103848,-0.103848,-0.103848
"993",-0.103848,0.156828289,0.156828289,-0.103848,0.135944169,-0.103848,-0.103848,-0.103848,-0.103848
"994",-0.103848,-0.075080783,-0.075080783,-0.081815633,-0.083899497,-0.081815633,-0.103848,-0.103848,-0.102049338
"995",-0.103848,0.4035075,0.4035075,-0.103848,0.077106794,-0.103848,-0.103848,-0.103848,-0.103848
"996",-0.103848,0.04438314,0.04438314,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"997",-0.103848,0.153352037,0.153352037,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"998",-0.103848,0.415482524,0.415482524,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"999",-0.103848,0.429101855,0.429101855,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"1000",-0.103848,0.069081576,0.069081576,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"1001",-0.103848,-0.096757,-0.096757,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"1002",-0.103848,-0.096757,-0.096757,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"1003",-0.103848,-0.020212911,-0.020212911,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"1004",-0.103848,0.069081576,0.069081576,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"1005",-0.103848,0.069081576,0.069081576,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"1006",-0.103848,-0.096757,-0.096757,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"1007",-0.103848,-0.020212911,-0.020212911,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"1008",-0.103848,-0.062605999,-0.062605999,-0.103848,-0.103848,-0.103848,-0.098543171,-0.103848,-0.103597336
"1009",-0.103848,-0.079611954,-0.079611954,-0.103848,-0.103848,-0.103848,-0.09877268,-0.103848,-0.10197286
"1010",-0.103848,0.907945853,0.907945853,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"1011",-0.103848,0.609567277,0.609567277,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"1012",-0.103848,0.121621,0.121621,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"1013",-0.103848,0.121621,0.121621,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"1014",-0.103848,0.394941386,0.394941386,-0.10270799,-0.103848,-0.10270799,-0.103848,-0.103848,-0.103848
"1015",-0.103848,0.291218645,0.291218645,-0.103693519,-0.032109446,-0.103693519,-0.103848,-0.103848,-0.103848
"1016",-0.103324925,-0.103848,-0.103848,-0.094819995,-0.100418361,-0.094819995,-0.103848,-0.103848,-0.101663296
"1017",-0.103848,-0.103848,-0.103848,-0.100854805,-0.100542443,-0.100854805,-0.103848,-0.103848,-0.098848254
"1018",-0.103031015,-0.103848,-0.103848,-0.094234074,-0.09806988,-0.094234074,-0.103848,-0.103848,-0.099292774
"1019",-0.103848,-0.102444125,-0.102444125,-0.10021274,-0.101580174,-0.10021274,-0.103848,-0.103848,-0.095914481
"1020",-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.092148054
"1021",-0.103848,-0.103848,-0.103848,-0.097123682,-0.101403088,-0.097123682,-0.103848,-0.103848,-0.092370949
"1022",-0.103848,0.118061404,0.118061404,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"1023",-0.089645237,0.203933017,0.203933017,-0.089645237,-0.089645237,-0.089645237,-0.089645237,-0.089645237,-0.089645237
"1024",-0.103848,0.148600003,0.148600003,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"1025",-0.103848,0.118061404,0.118061404,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
"1026",-0.103848,0.195394,0.195394,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848
