"EAB_pres","PTB_pres","ALB_pres","JCLB_pres","PWB_pres","EBB_pres","ELB_pres","SEEBB_pres","SWW_pres","PSB_pres","PFW_pres","LC_pres","EPNM_pres","AOW_pres","IPS_pres","ESN_pres","BM_pres","BL_pres","ELM_pres","MW_pres","SM_pres","EPS_pres","WM_pres","BVW_pres","IWLB_pres","JB_pres","LS_pres","MAS_pres","ABL_pres","EPSM_pres","PS_pres","EL_pres","OW_pres","WPBR_pres","CB_pres","CDC_pres","DWA_pres","SC_pres","ELC_pres","EPLR_pres","DED_pres","PRR_pres","POCRD_pres","SOD_pres","BC_pres","WS_pres","ESGA_pres","BWA_pres","HWA_pres","CRS_pres","GM_pres","GOS_pres","JS_pres","BBD_pres","SJS_pres","GSA_pres","CS_pres","EHS_pres","RLP_pres","OS_pres","RPS_pres","CHS_pres","PT_pres","IBT_pres"
2.208777794,-0.103848,-0.103848,-0.103848,0.149736312,-0.103848,-0.103848,-0.103848,18.71822184,18.71822184,0.122630963,-0.103848,-0.103848,-0.103848,-0.103848,2.450780047,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,9.919102194,25.41367651,0.149736312,4.885317352,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,0.122630963,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,18.49174288,-0.103848,0.322045045,-0.103848,0.011342046,-0.103848,-0.103848,-0.016794656,1.683637911,-0.103848,-0.103848,0.149736312,-0.103848,-0.103848,-0.103848,5.138901854,2.450780047,4.885317352,2.450780047,-0.103848,7.197943336,-0.103848,-0.103848,-0.103848,-0.103848
-0.103848,-0.103848,-0.103848,-0.103848,3.52201733,-0.103848,-0.103848,-0.103848,2.329668006,2.329668006,0.2241987,-0.103848,-0.103848,-0.103848,-0.103848,4.919512259,-0.103848,2.101488011,-0.103848,-0.103848,-0.103848,-0.103848,16.7741705,17.68898524,3.52201733,8.124945233,-0.103848,-0.103848,2.101488011,-0.103848,-0.103848,-0.103848,-0.103848,0.2241987,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,2.001621306,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,7.44255603,-0.103848,-0.103848,5.727353341,-0.103848,-0.103848,-0.103848,11.75081056,4.919512259,5.919609222,4.919512259,-0.103848,8.124945233,-0.103848,-0.103848,-0.103848,-0.103848
-0.103848,-0.103848,-0.103848,-0.103848,0.011763988,-0.103848,-0.103848,-0.103848,35.79150344,35.79150344,0.204536576,-0.103848,-0.103848,-0.103848,-0.103848,4.618427284,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,5.544766175,25.80489759,0.011763988,0.706879204,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,0.204536576,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,35.48311886,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,0.048598096,-0.103848,-0.103848,0.011763988,-0.103848,-0.103848,-0.103848,0.822491192,4.618427284,0.706879204,4.618427284,-0.103848,0.706879204,-0.103848,-0.103848,-0.103848,-0.103848
-0.103848,-0.103848,-0.103848,-0.103848,5.273849436,-0.103848,-0.103848,-0.103848,3.505418091,3.505418091,0.382694035,-0.103848,-0.103848,-0.103848,-0.103848,7.346542218,-0.103848,3.166993229,-0.103848,-0.103848,-0.103848,-0.103848,24.92876313,26.28556942,5.273849436,12.10067595,-0.103848,-0.103848,3.166993229,-0.103848,-0.103848,-0.103848,-0.103848,0.382694035,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,3.018876055,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,11.0885913,-0.103848,-0.103848,8.544690665,-0.103848,-0.103848,-0.103848,17.47837339,7.346542218,8.829834724,7.346542218,-0.103848,12.10067595,-0.103848,-0.103848,-0.103848,-0.103848
-0.103848,-0.103848,-0.103848,-0.103848,0.011763988,-0.103848,-0.103848,-0.103848,35.79150344,35.79150344,0.204536576,-0.103848,-0.103848,-0.103848,-0.103848,4.618427284,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,5.544766175,25.80489759,0.011763988,0.706879204,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,0.204536576,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,35.48311886,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,0.048598096,-0.103848,-0.103848,0.011763988,-0.103848,-0.103848,-0.103848,0.822491192,4.618427284,0.706879204,4.618427284,-0.103848,0.706879204,-0.103848,-0.103848,-0.103848,-0.103848
-0.103848,-0.103848,-0.103848,-0.103848,2.452561905,-0.103848,-0.103848,-0.103848,26.81770174,26.81770174,0.127440743,-0.103848,-0.103848,-0.103848,-0.103848,3.43786322,-0.103848,1.451020234,-0.103848,-0.103848,-0.103848,-0.103848,11.79596894,31.87254274,2.452561905,5.69784804,-0.103848,-0.103848,1.451020234,-0.103848,-0.103848,-0.103848,-0.103848,0.127440743,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,26.586413,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,5.216730745,-0.103848,-0.103848,4.007430139,-0.103848,-0.103848,-0.103848,8.254257945,3.43786322,4.142979806,3.43786322,-0.103848,5.69784804,-0.103848,-0.103848,-0.103848,-0.103848
-0.103848,-0.103848,-0.100198839,-0.103848,3.433637986,-0.103848,-0.103848,-0.10329865,-0.036394475,-0.036394475,-0.102581079,-0.094975491,-0.103345553,-0.103848,-0.103848,-0.085535535,-0.103848,2.126528948,-0.103848,-0.103848,-0.103848,-0.103848,11.95010886,18.10479937,3.433637986,8.407168335,-0.094975491,-0.103848,2.126528948,-0.103345553,-0.103848,-0.103692705,-0.098393463,-0.102581079,-0.103848,-0.103848,-0.103848,-0.103848,-0.094975491,-0.028788887,-0.103692705,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.085535535,8.244776489,-0.103848,-0.103848,5.67834198,-0.103848,-0.103848,-0.103848,11.94465432,-0.085535535,6.176242038,-0.085535535,-0.103848,8.407168335,-0.103848,-0.103848,-0.103848,-0.103848
-0.103848,-0.103848,-0.103848,-0.103848,4.234791348,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,2.627662031,-0.103848,-0.103848,-0.103848,-0.103848,14.66867698,22.22694901,4.234791348,10.33003763,-0.103848,-0.103848,2.627662031,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,9.712121235,-0.103848,-0.103848,6.966301378,-0.103848,-0.103848,-0.103848,14.66867698,-0.103848,7.5985276,-0.103848,-0.103848,10.33003763,-0.103848,-0.103848,-0.103848,-0.103848
-0.103848,-0.103848,-0.103848,-0.103848,6.182777558,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,3.854070461,-0.103848,-0.103848,-0.103848,-0.103848,21.30132668,32.25315335,6.182777558,15.01470112,-0.103848,-0.103848,3.854070461,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,14.11934921,-0.103848,-0.103848,10.14069602,-0.103848,-0.103848,-0.103848,21.30132668,-0.103848,11.05678266,-0.103848,-0.103848,15.01470112,-0.103848,-0.103848,-0.103848,-0.103848
-0.103848,-0.103848,-0.103848,-0.103848,3.387571577,-0.103848,-0.103848,-0.103848,0.060277096,0.060277096,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,0.012086425,-0.103848,2.094271464,-0.103848,-0.103848,-0.074623341,-0.103848,11.81351855,17.88302826,3.416796236,8.292874311,-0.103848,-0.103848,2.094271464,-0.103848,-0.074623341,-0.103848,-0.103848,-0.064740134,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,0.021169229,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,0.012086425,7.860455707,-0.103848,-0.103848,5.614915699,-0.103848,-0.087163685,-0.103848,11.81351855,0.012086425,6.094754847,0.012086425,-0.103848,8.32209897,-0.103848,-0.103848,-0.103848,-0.103848
-0.103848,-0.103848,-0.103848,-0.103848,9.774995,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,6.11565,-0.103848,-0.103848,-0.103848,-0.103848,30.549678,50.075576,9.774995,20.670835,-0.103848,-0.103848,6.11565,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,20.721212,-0.103848,-0.103848,15.994493,-0.103848,-0.103848,-0.103848,30.549678,-0.103848,14.451337,-0.103848,-0.103848,20.670835,-0.103848,-0.103848,-0.103848,-0.103848
-0.103848,-0.103848,-0.103848,-0.103848,6.182777558,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,3.854070461,-0.103848,-0.103848,-0.103848,-0.103848,21.30132668,32.25315335,6.182777558,15.01470112,-0.103848,-0.103848,3.854070461,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,14.11934921,-0.103848,-0.103848,10.14069602,-0.103848,-0.103848,-0.103848,21.30132668,-0.103848,11.05678266,-0.103848,-0.103848,15.01470112,-0.103848,-0.103848,-0.103848,-0.103848
-0.103848,-0.103848,-0.103848,-0.103848,0.059783898,-0.103848,-0.103848,-0.103848,25.01324557,25.01324557,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,4.720767806,31.71826596,0.059783898,4.557135907,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,25.01324557,-0.103848,0.264861048,-0.103848,-0.103848,-0.103848,-0.103848,-0.103848,1.313806036,-0.103848,-0.103848,0.059783898,-0.103848,-0.103848,-0.103848,4.720767806,-0.103848,4.557135907,-0.103848,-0.103848,4.557135907,-0.103848,-0.103848,-0.103848,-0.103848
