"SppCode","prop_small","prop_med","prop_large"
"PONI",0.0657551711879068,0.0493226797349991,0.0567307393084754
"PRAR",0.00653478855681471,0.00246335173777814,0.00150986713785931
"PRBL",0.00341298344421361,0.00182690755862285,0.000828942884852297
"PRCA",0.0268385396608774,0.0656603426228332,0.0786617348047971
"PRDO",0.00310263331603237,0.00446505631136781,0.000881834215167549
"PRIL",0.0014380818724612,0.000147584804045349,3.93174490839035e-05
"PRLA",0.000551489526592456,0.000106205541716778,0
"PRLY",0.00196671749764636,0.00778252342157072,0.00617283950617284
"PRSE2",0.0647948495614023,0.0751368016584744,0.0451030654521637
"QU",0.0583627381818169,0.0433161380212414,0.0444876153806192
"QUCO",0.0133683786333496,0.0115489347362497,0.00741455163016857
"QULO",0.0102613034165085,0.0179437081214953,0.0261291800053673
"QURU",0.203874430164819,0.198609443169702,0.179179438323261
"QUSH",0.00393470857590071,0.00114054313788662,0.000700520576920207
"QUSU",0.00474447423675418,0.00698765135750107,0.0120479732735746
"QUVI",0.0714901120957545,0.0761294140547795,0.0730494496871768
"SABA",0.147104693753173,0.147065900764962,0.181172846890842
"ULPU",0.255052215435042,0.386373457230424,0.420805155433407
"AC",0.0771878172481145,0.0305980276224696,0.0244584171453269
"ACFR",0.0432015194416573,0.00533137170918854,0.00181468373703827
"ACPL",0.216661119015048,0.251245236333019,0.119975628732954
"ACRU",0.264465074770074,0.166167226218305,0.113483431692269
"ACSA2",0.0798530063126545,0.0994148798674627,0.0951063797392609
"ARMA2",0.284011723432082,0.159337292609351,0.166666666666667
"BE",0.160138312075944,0.156725177866342,0.139105339105339
"CO1",0.479655595658162,0.442424242424242,0.435897435897436
"FRAM",0.177801286058222,0.148865679530488,0.162336941257834
"FRHO",0.00089544752009059,0.00206633644531162,0.000867768866143632
"FRPE",0.462201535984332,0.503854247891858,0.478672546403815
"GLTR",0.992002601482106,0.991740280879221,0.991803278688525
"JUCA1",0.00852029839861502,0.010838445807771,0.00446428571428571
"JUHI",0.0368820202005159,0.0401000415020815,0.0570991085201105
"MA2",0.712287101366106,0.720151672803807,0.68192220045447
"MASO",0.136158960674251,0.126275669011001,0.0926944833242179
"PRDU",0.00327964221370435,0.0142940040325663,0.0279266224064526
"PRLU",6.58322998316075e-05,8.63677192012714e-06,0
"QUCE",1.63183080541397e-05,4.87325184355008e-05,7.19437399953237e-05
"QUCH",0.000223033580125818,7.88411269502349e-05,3.30428911093073e-05
"QUDO",0.00107217323441377,0.000758643562450656,0.00152464320994515
"QUKE",0.000230928491382482,8.85039830048222e-06,0.000104063574562181
"QUPA",0.110848675227084,0.241854658380222,0.240403407695569
"QUWI",0.000946602329992431,0.00165057023995857,0.00178058930160014
"SAMA",0.0666571104687973,0.0698960121359189,0.0292124566580762
"TICO",0.346600285377801,0.298809040114767,0.185285921242299
"ULS",0.271774017330063,0.133298642213044,0.127403917130646
"ACGR",0.00121538141419888,5.93332685644809e-06,2.06231490723707e-06
"AEFL",0.0196182954324818,0.00323909260262635,0.010211027910143
"ARME",0.106212955481622,0.154017857142857,0.5
"BENI",0.315703572407653,0.276601642951199,0.447438672438672
"CIAU",0.0138419983338222,0.00357142857142857,0
"CILI",0.220755616055837,0.143743399457685,0
"CIRE3",0.0181918403833659,0.00952380952380951,0
"CISI",0.224669062196081,0.331439750725465,0.25
"CISP",0.486004334820117,0.402380952380952,0.75
"COCO1",0.714285714285714,0.8,1
"CR",0.660711194494563,0.642346115093852,0.717391304347826
"CULE",0.000228155550100359,0.000516222285316057,0.00104166666666667
"CUSA",9.01477521657998e-06,0,0
"CUSE",0.582122568468356,0.609411365608277,0.416179946258272
"EUGU",6.66703705761432e-05,0.000382270291174199,4.81000481000481e-05
"EUMA26",4.37101145205e-05,0,0
"EURU",0.0446629183247178,0.0352356364789878,0.0186869547714612
"ILVO",0.0331487496869929,0.0148809523809524,0
"JU1",0.254762639596421,0.273665010149989,0.203032192698142
"JUNI",0.51673770319058,0.528332799553736,0.582360099454593
"MAPU",0.0984557738261469,0.112257869277767,0.164879784419015
"MAST",0.058698839611917,0.0314959090650016,0.0237373737373737
"PE18",0.0149068322981366,0.0398351648351648,0.0416666666666667
"PIGL1",0.0850237865417804,0.0566348736346127,0.0389798955367921
"PINI",0.137927844011476,0.171863030878748,0.105845216243931
"PIPO",0.0936415659410724,0.104840374772308,0.0840996664622881
"PIPU",0.505756320455176,0.458536060892904,0.324754308762524
"POAL",0.0489416398032968,0.0716688158550199,0.0770057515788758
"POBA",0.015185354039626,0.00924245114895892,0.00372018435439714
"PRAV",0.00424366734356978,0.00681847750504465,0.0217478280749886
"PRMU2",0.000162099563485827,0.000122037994528134,0.000166833500166833
"PRPE2",0.0116697925240625,0.00639276353646939,0.0022148829650599
"PRPEN2",2.61327736810287e-05,0,0
"PRVI",0.18036628419856,0.0901857234316046,0.0516068979031942
"PSME",1,1,1
"QUFU",4.17724030619172e-06,0,0
"QUMA1",0.187416213062694,0.0963463587560434,0.105825867673781
"QUPH",0.0153713258125335,0.0132845329054407,0.013283320278895
"QURO",0.0212719770549143,0.0241236970851955,0.00733419902568992
"SAAL4",0.0300064045438223,0.0424535020339396,0.0499470308493545
"SAGO",5.77100646352724e-05,0.00144648023143684,0
"SALA3",0.0130406249124966,0.0220198123958973,0.0133757961783439
"SO",0.534764418532145,0.527894715233764,0.476170568561873
"ULAM",0.240919000357346,0.298048051044966,0.338804199553249
"ACBA2",0.150040036993991,0.088059322328523,0.00129032258064516
"ACFA",0.064286266121894,0.00653594771241829,0
"ACST",0.0413772553785852,0.0465849179550974,0
"CIPA",0.035712794213262,0.109340659340659,0
"CUAR",0.075603463967268,0.0355606008562672,0.000520833333333334
"EUTO11",0.0172171638199272,0.000427571609690401,0.0043547042227781
"FIEL",0.0605379990758135,0.0271969956170834,0.0294388655289362
"FIMAmja",0.00291094732892405,0.0157071861378499,0.0141557597697949
"FIRU",0.019792891521816,0.0190878439576935,0.0249012414592704
"LIFO",0.000947548503193571,0.00581473083465116,0.00459229151859749
"MAFL80",0.0383438373661891,0.0275083190910256,0.0311173974540311
"MASY2",0.0250731781851854,0.0108879992520461,0.027276640707549
"PICO2",0.000189678779280908,0.000234899670163363,2.5237507892457e-05
"PIMUmja",0.000174594784201577,8.73490864560256e-05,7.34182047780568e-06
"PIPA4",3.95614856574161e-05,0.000114297312812145,2.68983511310757e-05
"PISA",0.00119926898788498,0.00141635702405274,0.00243688306643327
"QUDU",0.000105448833877359,0.000331055311404953,0
"SALA1",0.0187081965595053,0.0181947697111632,0.0382165605095541
"TIAM",0.411482769025549,0.490637713679026,0.593914165272329
"ACRE2",0.00793650793650794,0,0
"EUCA",0.00127311712677566,0.0003756814257289,7.91891035793475e-05
"FI1",0.148237315708809,0.152895843299642,0.196492309749124
"ACBU",0.00803543122891843,0.00373365167699162,0.0012916477199316
"ACDE",0.035964671151805,0.0567281858542891,0.00645161290322581
"CUGL9",0.0159030385462584,0.025185501572849,0.0354663514254386
"EUCI",0.035035213307006,0.0104288635136325,0.0200560821113763
"EURO",0.0199315598434093,0.0312866813911009,0.0173106124191079
"EUVI",0.00244877989264806,0.00332440534595677,0.0161904599657612
"ILAL",0.0857309833540382,0.0277777777777778,0
"PIBR2",0.00424857993031579,0.00371671119825355,0.00350564546506068
"QUEN",0.000211503122084796,9.6654679359231e-05,1.51646118617594e-05
"ACSA",0.00817682851150653,0,0
"CUGU",0.00366300366300366,0,0.000548245614035087
"EUCL",0.00527690559418465,0.0133184670533572,0.0332204964200081
"EUMA23",0.00780618905215574,0.00987804334842739,0.0110922866500714
"LI9",0.0191995917765638,0.018746863063075,0.025
"PL3",0.194632876471016,0.234476106057543,0.231327357666724
"PODE",0.197772782475114,0.346506397131684,0.415274933338893
"POTR2",0.0207962346512001,0.0312019441388271,0.0342888895340183
"AB",0.296624267268418,0.300843214756258,0.230414746543779
"ACGR3",0.000459439599079285,1.11948116699006e-05,9.74032298911031e-06
"ACTR",0.00194746777115672,0.00021801708397374,9.05003006839381e-05
"AECA",0.0623029839232666,0.0235073203534469,0.0117994100294985
"AEHI",0.3867452925325,0.581428283841882,0.766022592820159
"CADE",0.369012345679012,0.371541950113379,0.511111111111111
"CHLA2",0.206313151507169,0.366162143213472,0.475300442757748
"CHNO",0.0507494081865315,0.0292114155709458,0.0315060791341626
"COFL",0.293984389356443,0.362947658402204,0.333333333333333
"FASY",0.493819939199565,0.32996978020386,0.195591365537275
"ILSP",0.249344018594306,0.396289281705948,0.214285714285714
"MA1",0.35340254886759,0.234650403740336,0.173662003109038
"MAPO",1,1,1
"MATS",0.115067305513003,0.120367608127034,0.0801292649919016
"MORU",0.112988744971913,0.104323676281835,0.131194409343478
"OSVI",0.829667644183773,0.875,0.875
"PI1",0.235905381787124,0.203578851622498,0.125075464801107
"PISY",0.122643743166973,0.113421537747709,0.0529798882586864
"PRSA",0.00443123856104219,0.00447631296600849,0.00485008818342152
"QUAC",0.00816277683511681,0.00110969281903504,0.000165719724536337
"QUAL",0.0272086686721195,0.0511526159225133,0.0797489513657795
"QUIM",0.0117127399913828,0.00482111642905547,0.00551223016632017
"QULA1",0.000101877716360489,0.00013874449667433,4.08157985256088e-05
"QUNI",0.00559433247773386,0.00400797664792774,0.00252559334825199
"QUVE",0.0130743681894325,0.0146106576562858,0.0199474907102845
"TA",0.760470519526687,0.680555555555556,0.7
"TI",0.19259992216776,0.183722850107288,0.194239813038279
"ULPR",0.00238025274371448,0.000692559691369204,0.00296052264953565
"EUGLCO",0.000125078173858662,0.000386239654459285,0.00059246586192694
"EUGR",0.00508122358215784,0.0050124897128897,0.0115589360379591
"EUMI2",0.000510028334907495,0,0.00324675324675325
"EUPU2",0.0102239072744952,0.000300854987895834,0.000386392410266528
"JUCA2",0.0111053567399098,0.0125777107892394,0.0127346035823878
"JUSC",0.126280258441337,0.0869202650478188,0.101864415979158
"POCA2",0.00872887424497823,0.0143715421731822,0.00825085549637221
"CROX",0.00756699373452022,0.00467508181393174,0
"FREX",0.00199118091176643,0.00304136691477233,0.00276606571161441
"FRLA",0.00395342740987767,0.00409919974055295,0.00548812804748781
"MAVI",0.0325246295886716,0.020515306824366,0
"POGR",0.0255452953375555,0.0212390631214541,0.00760189581225256
"SANI",0.0620125117620867,0.0883927822063325,0.087553423222213
"MO",0.459520392736621,0.452477622791315,0.442922276417998
"POBAB2",0.00315706393054459,0.00244173140954495,0.000141302811925957
"ACCU4",0.00694621282856576,0,0
"AR4",0.0181414713379058,0.00223214285714286,0
"TIEU2",0.00465944187973164,0.000514874770354349,0.000107194923248435
"FILY",0.0141985512246704,0.00121908666212464,0.00531600216639586
"FOJA",0.000717149880877267,0,0
"JUOC",0.00268900406660429,0.00702965235173824,0.0104166666666667
"PRCA2",0.00122621352117974,0.000789932447156244,0
"ACMA",0.00293521181506122,0.00408714040002694,0.0130291859539641
"CRLA80",0.0336360478703555,0.0978723028810467,0.0492753623188406
"QULA2",0.0184193370978869,0.0245097111331052,0.0330171088821971
"CA4",0.28,0.261904761904762,0.266666666666667
"EUDE",0.0373106667276804,0.0241194663712321,0
"EULE2",0.0007128096552082,0.000911588616304302,0.000553948421247
"FIMAAL",0.000415374007011645,0.00046882325363338,0
"FIMINI",0.0111313385404732,0.00112984612159076,0
"ABCO",0.281767177622509,0.383631369505661,0.471294162826421
"ACCA",0.00794778357032091,0.000784765744085484,0.000158238879307366
"ACCI",0.001322437899112,0.000200619944179878,0.000396565099263786
"ACNEC2",7.14285714285714e-06,0,0
"AEGL",0.35876361487613,0.302240378323003,0.178714086429794
"AMCA",0.0915498266519198,0.108333333333333,0.15
"AMLA",0.132220435074222,0.0666666666666667,0.2
"BEPL2",0.00468337560008218,0.00117917185554172,0.000777000777000777
"CAMO",0.296666666666667,0.34047619047619,0.2
"COKO",0.0887634472907025,0.104820936639118,0
"JUOS",0.000341376453788632,0.000575344138204683,0
"MAKO",0.0103773510957459,0.000856535692601267,0
"PEBO",0.177302907482614,0.172347568292788,0.208333333333333
"PIDE",0.000305386531987725,0.000134412058694908,0.000889034931588122
"PIED",0.00316486746807354,0.00241769745801051,0.00448327300299128
"QUBI",0.0902111679504612,0.0269804670159497,0.0154938321115853
"QUGA2",0.00192098222979968,0.00382317773402993,0.00432776118688134
"QUMU",0.00997469044919243,0.00213548208117302,0.000301305962100626
"QUNU",0.00061914236521941,6.00160860385904e-05,8.75640083779993e-05
"TITO",0.0366013141062826,0.0168338217045045,0.0139864276655141
"ULWI",0.00884755844819445,0.0013681406895984,3.005999975952e-06
"BEPA",0.210006050396447,0.242507020212491,0.179789038122371
"EUWO3",0,0.000860585197934595,0
