popden2010,popden2020,popden2030,popden2040,popden2050,popden2060
-0.31034288,-0.30877459,-0.3072063,-0.305376334,-0.303546368,-0.301716402
-0.308381343,-0.306246772,-0.3041122,-0.301495331,-0.298878461,-0.296261592
-0.304609717,-0.301849159,-0.2990886,-0.295769357,-0.292450115,-0.289130872
-0.293459433,-0.289225087,-0.284990741,-0.279754423,-0.274518104,-0.269281786
-0.279396571,-0.274299088,-0.269201605,-0.263197867,-0.257194129,-0.251190391
-0.293459433,-0.289225087,-0.284990741,-0.279754423,-0.274518104,-0.269281786
-0.279396571,-0.274299088,-0.269201605,-0.263197867,-0.257194129,-0.251190391
-0.312921554,-0.307719914,-0.302518273,-0.297345829,-0.292173386,-0.287000942
-0.301397096,-0.288672606,-0.275948116,-0.262586422,-0.249224727,-0.235863033
-0.317900756,-0.315206661,-0.312512567,-0.309696409,-0.306880252,-0.304064094
-0.298031522,-0.28328026,-0.268528999,-0.253390508,-0.238252018,-0.223113528
-0.316236206,-0.313544463,-0.31085272,-0.308584701,-0.306316681,-0.304048662
-0.293764067,-0.274142393,-0.254520719,-0.233945424,-0.213370129,-0.192794834
-0.303579684,-0.289178537,-0.27477739,-0.259700641,-0.244623893,-0.229547144
-0.293764067,-0.274142393,-0.254520719,-0.233945424,-0.213370129,-0.192794834
-0.322434317,-0.319822325,-0.317210334,-0.314349372,-0.31148841,-0.308627448
-0.265605787,-0.246925169,-0.228244552,-0.207621904,-0.186999257,-0.16637661
-0.244130571,-0.222056041,-0.19998151,-0.175158333,-0.150335157,-0.12551198
-0.269090673,-0.254393495,-0.239696318,-0.223434114,-0.20717191,-0.190909706
-0.313143973,-0.311025957,-0.308907941,-0.307061614,-0.305215287,-0.303368959
-0.313867451,-0.311113623,-0.308359796,-0.305699559,-0.303039323,-0.300379086
-0.303524984,-0.299048948,-0.294572912,-0.288956942,-0.283340972,-0.277725002
-0.31135548,-0.309346781,-0.307338082,-0.305669109,-0.304000136,-0.302331162
-0.290488338,-0.283592031,-0.276695724,-0.267841923,-0.258988122,-0.25013432
-0.300370717,-0.297076444,-0.293782171,-0.289266558,-0.284750946,-0.280235333
-0.288249643,-0.280280859,-0.272312074,-0.261146396,-0.249980717,-0.238815039
-0.301830256,-0.301251271,-0.300672287,-0.300071166,-0.299470046,-0.298868925
-0.318528931,-0.318465134,-0.318401337,-0.318070383,-0.317739428,-0.317408473
-0.296917356,-0.296622603,-0.296327849,-0.296234676,-0.296141502,-0.296048328
-0.308313357,-0.308806344,-0.309299332,-0.309978432,-0.310657533,-0.311336634
-0.287983567,-0.288141447,-0.288299328,-0.289063919,-0.289828511,-0.290593103
-0.309718617,-0.309997709,-0.310276801,-0.310872648,-0.311468495,-0.312064342
-0.297816986,-0.297895114,-0.297973241,-0.298663629,-0.299354017,-0.300044405
-0.320719442,-0.320592416,-0.320465391,-0.320604304,-0.320743217,-0.32088213
-0.289727507,-0.289774516,-0.289821526,-0.290635392,-0.291449259,-0.292263126
-0.318843542,-0.318517134,-0.318190727,-0.318225978,-0.31826123,-0.318296481
-0.311414661,-0.309783537,-0.308152413,-0.306100425,-0.304048437,-0.301996449
-0.315501063,-0.31466344,-0.313825817,-0.312817472,-0.311809127,-0.310800783
-0.313666307,-0.312730318,-0.311794329,-0.310664474,-0.309534618,-0.308404763
-0.311005281,-0.309488826,-0.307972372,-0.306076165,-0.304179959,-0.302283753
-0.311005281,-0.309488826,-0.307972372,-0.306076165,-0.304179959,-0.302283753
-0.303173121,-0.299534972,-0.295896823,-0.291190588,-0.286484352,-0.281778116
-0.311005281,-0.309488826,-0.307972372,-0.306076165,-0.304179959,-0.302283753
-0.324159483,-0.324216389,-0.324273294,-0.324370181,-0.324467067,-0.324563954
-0.316769362,-0.316476751,-0.31618414,-0.316025347,-0.315866554,-0.315707761
-0.317377664,-0.317587456,-0.317797249,-0.318187331,-0.318577414,-0.318967497
-0.310905341,-0.310512522,-0.310119704,-0.309973086,-0.309826469,-0.309679851
-0.310905341,-0.310512522,-0.310119704,-0.309973086,-0.309826469,-0.309679851
