"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
-0.10487845,-0.10487845,-0.10487845,-0.10487845,-0.10487845,-0.10487845,-0.10487845,-0.10487845,-0.10487845,-0.10487845,-0.10487845,-0.10487845,-0.10401909,-0.10437904,-0.10347096,-0.10283663,-0.10023288,-0.0988819,-0.09737009,-0.0931852,-0.09220771
-0.10061886,-0.10061886,-0.10061886,-0.10061886,-0.10061886,-0.10061886,-0.10061886,-0.10061886,-0.10061886,-0.10061886,-0.10061886,-0.10061886,-0.09920679,-0.09874252,-0.09753304,-0.09644922,-0.09150074,-0.08552836,-0.0784657,-0.06594787,-0.05431219
-0.08624722,-0.08624722,-0.08624722,-0.08624722,-0.08624722,-0.08624722,-0.08624722,-0.08624722,-0.08624722,-0.08624722,-0.08624722,-0.08624722,-0.08157952,-0.08156569,-0.08507857,-0.08466366,-0.08405513,-0.08663447,-0.07983,-0.05229401,-0.0371015
-0.10444344,-0.10444344,-0.10444344,-0.10444344,-0.10444344,-0.10444344,-0.10444344,-0.10444344,-0.10444344,-0.10444344,-0.10444344,-0.10444344,-0.10432188,-0.10432989,-0.10410058,-0.10372027,-0.10247913,-0.10156022,-0.10069651,-0.09730235,-0.09440409
-0.10444344,-0.10444344,-0.10444344,-0.10444344,-0.10444344,-0.10444344,-0.10444344,-0.10444344,-0.10444344,-0.10444344,-0.10444344,-0.10444344,-0.10432188,-0.10432989,-0.10410058,-0.10372027,-0.10247913,-0.10156022,-0.10069651,-0.09730235,-0.09440409
-0.10062592,-0.10062592,-0.10062592,-0.10062592,-0.10062592,-0.10062592,-0.10062592,-0.10062592,-0.10062592,-0.10062592,-0.10062592,-0.10062592,-0.09810898,-0.09657768,-0.094648,-0.09196221,-0.08592688,-0.08120016,-0.07033892,-0.0544053,-0.04454303
-0.10509907,-0.10509907,-0.10509907,-0.10509907,-0.10509907,-0.10509907,-0.10509907,-0.10509907,-0.10509907,-0.10509907,-0.10509907,-0.10509907,-0.10429978,-0.10413449,-0.10333262,-0.10256748,-0.09904712,-0.09693421,-0.09466633,-0.0911899,-0.09082899
-0.10509907,-0.10509907,-0.10509907,-0.10509907,-0.10509907,-0.10509907,-0.10509907,-0.10509907,-0.10509907,-0.10509907,-0.10509907,-0.10509907,-0.10429978,-0.10413449,-0.10333262,-0.10256748,-0.09904712,-0.09693421,-0.09466633,-0.0911899,-0.09082899
-0.10496962,-0.10496962,-0.10496962,-0.10496962,-0.10496962,-0.10496962,-0.10496962,-0.10496962,-0.10496962,-0.10496962,-0.10496962,-0.10496962,-0.10392583,-0.10423701,-0.10333466,-0.10295776,-0.10027732,-0.09865461,-0.09708424,-0.09357154,-0.09255919
-0.1049037,-0.1049037,-0.1049037,-0.1049037,-0.1049037,-0.1049037,-0.1049037,-0.1049037,-0.1049037,-0.1049037,-0.1049037,-0.1049037,-0.10413822,-0.10454627,-0.10351111,-0.10290945,-0.10100569,-0.09996932,-0.0985353,-0.094784,-0.09375119
-0.10102674,-0.10102674,-0.10102674,-0.10102674,-0.10102674,-0.10102674,-0.10102674,-0.10102674,-0.10102674,-0.10102674,-0.10102674,-0.10102674,-0.09875814,-0.09746534,-0.09579026,-0.0935736,-0.08799067,-0.08522403,-0.07846479,-0.06877562,-0.06457398
-0.10325087,-0.10325087,-0.10325087,-0.10325087,-0.10325087,-0.10325087,-0.10325087,-0.10325087,-0.10325087,-0.10325087,-0.10325087,-0.10325087,-0.10139509,-0.10073053,-0.09788588,-0.09683324,-0.09551088,-0.09544961,-0.09342499,-0.09102603,-0.09060687
-0.09704657,-0.09704657,-0.09704657,-0.09704657,-0.09704657,-0.09704657,-0.09704657,-0.09704657,-0.09704657,-0.09704657,-0.09704657,-0.09704657,-0.09461236,-0.09370487,-0.09121712,-0.08954014,-0.08110534,-0.07030925,-0.05618864,-0.03291309,-0.01117335
-0.1010504,-0.1010504,-0.1010504,-0.1010504,-0.1010504,-0.1010504,-0.1010504,-0.1010504,-0.1010504,-0.1010504,-0.1010504,-0.1010504,-0.09996239,-0.09962976,-0.09861576,-0.09730552,-0.09231347,-0.08674382,-0.08112535,-0.07110169,-0.0627717
-0.08533447,-0.08533447,-0.08533447,-0.08533447,-0.08533447,-0.08533447,-0.08533447,-0.08533447,-0.08533447,-0.08533447,-0.08533447,-0.08533447,-0.06225403,-0.05254261,-0.03904411,-0.03353985,-0.00689169,0.00604213,0.02422594,0.04379982,0.06020386
