"sci","FIA  Code","code.x","code.y"
"QUERCUS GRACILIFORMIS","0851","QUGR","QUGR3"
"QUERCUS GRAVESII","8511","QUGR2","QUGR2"
"QUERCUS GRISEA","0846","QUGR3","QUGR"
"QUERCUS HYPOLEUCOIDES","0843","QUHY","QUHY"
"QUERCUS ILICIFOLIA","0816","QUIL","QUIL"
"QUERCUS IMBRICARIA","0817","QUIM","QUIM"
"QUERCUS INCANA","0842","QUIN","QUCI"
"QUERCUS KELLOGGII","0818","QUKE","QUKE"
"QUERCUS LACEYI","8514","QULA","QULA"
"QUERCUS LAEVIS","0819","QULA2","QULA1"
"QUERCUS LAURIFOLIA","0820","QULA3","QULA2"
"QUERCUS LOBATA","0821","QULO","QULO"
"QUERCUS LYRATA","0822","QULY","QULY"
"QUERCUS MACROCARPA","0823","QUMA2","QUMA1"
"QUERCUS MARGARETTIAE","0840","QUMA6","QUMA6"
"QUERCUS MARILANDICA","0824","QUMA3","QUMA2"
"QUERCUS MICHAUXII","0825","QUMI","QUMI"
"QUERCUS MINIMA","0841","QUMI2","QUMI2"
"QUERCUS MUEHLENBERGII","0826","QUMU","QUMU"
"QUERCUS NIGRA","0827","QUNI","QUNI"
"QUERCUS OBLONGIFOLIA","0829","QUOB","QUOB"
"QUERCUS OGLETHORPENSIS","0844","QUOG","QUOG"
"QUERCUS PAGODA","0813","QUPA5","QUPA2"
"QUERCUS PALUSTRIS","0830","QUPA2","QUPA"
"QUERCUS PHELLOS","0831","QUPH","QUPH"
"QUERCUS POLYMORPHA","8512","QUPO2","QUPO2"
"QUERCUS PRINOIDES","0845","QUPR","QUPR2"
"QUERCUS PRINUS","0832","QUPR2","QUPR"
"QUERCUS RUBRA","0833","QURU","QURU"
"QUERCUS RUGOSA","0847","QURU4","QURU4"
"QUERCUS SHUMARDII","0834","QUSH","QUSH"
"QUERCUS SIMILIS","0836","QUSI2","QUSI2"
"QUERCUS SINUATA VAR. SINUATA","0808","QUSIS","QUDU1"
"QUERCUS STELLATA","0835","QUST","QUST"
"QUERCUS VELUTINA","0837","QUVE","QUVE"
"QUERCUS VIRGINIANA","0838","QUVI","QUVI"
"QUERCUS WISLIZENI","0839","QUWI2","QUWI"
"RHIZOPHORA MANGLE","0989","RHMA2","RHMA2"
"ROBINIA NEOMEXICANA","0902","RONE","RONE"
"ROBINIA PSEUDOACACIA","0901","ROPS","ROPS"
"SABAL MEXICANA","0911","SAME8","SAME8"
"SABAL PALMETTO","0912","SAPA","SAPA"
"SALIX","0920","SALIX","SA"
"SALIX ALBA","0927","SAAL2","SAAL4"
"SALIX AMYGDALOIDES","0921","SAAM2","SAAM"
"SALIX BEBBIANA","0923","SABE2","SABE"
"SALIX BONPLANDIANA","0924","SABO","SABO"
"SALIX CAROLINIANA","0925","SACA5","SACA3"
"SALIX NIGRA","0922","SANI","SANI"
"SALIX PYRIFOLIA","0926","SAPY","SAPY"
"SALIX SCOULERIANA","0928","SASC","SASC"
"SALIX SEPULCRALIS","0929","SASE10","SABA"
"SAPINDUS SAPONARIA VAR. DRUMMONDII","0919","SASAD","SADR"
"SASSAFRAS ALBIDUM","0931","SAAL5","SAAL"
"SCHEFFLERA ACTINOPHYLLA","0888","SCAC2","BRAC"
"SEQUOIA SEMPERVIRENS","0211","SESE3","SESE"
"SEQUOIADENDRON GIGANTEUM","0212","SEGI2","SEGI"
"SIDEROXYLON FOETIDISSIMUM","0890","SIFO","SIFO"
"SIDEROXYLON SALICIFOLIUM","0891","SISA6","DISA"
"SIMAROUBA GLAUCA","0895","SIGL3","SIGL"
"SOPHORA AFFINIS","0870","SOAF","SOAF"
"SORBUS","0934","SORBU","SO"
"SORBUS AMERICANA","0935","SOAM3","SOAM"
"SORBUS AUCUPARIA","0936","SOAU","SOAU"
"SORBUS DECORA","0937","SODE3","SODE"
"SWIETENIA MAHAGONI","0940","SWMA2","SWMA"
"SYZYGIUM CUMINI","0896","SYCU","SYCU"
"TAMARINDUS INDICA","0897","TAIN2","TAIN"
"TAXODIUM ASCENDENS","0222","TAAS","TAAS"
"TAXODIUM DISTICHUM","0221","TADI2","TADI"
"TAXODIUM MUCRONATUM","0223","TAMU","TAMU"
"TAXUS","0230","TAXUS","TA"
"TAXUS BREVIFOLIA","0231","TABR2","TABR"
"TAXUS FLORIDANA","0232","TAFL","TAFL"
"THRINAX MORRISII","0913","THMO4","THMI"
"THRINAX RADIATA","0914","THRA2","THPA"
"THUJA","0240","THUJA","TH9"
"THUJA OCCIDENTALIS","0241","THOC2","THOC"
"THUJA PLICATA","0242","THPL","THPL"
"TILIA","0950","TILIA","TI"
"TILIA AMERICANA","0951","TIAM","TIAM"
"TILIA AMERICANA VAR. CAROLINIANA","0953","TIAMC","TICA"
"TILIA AMERICANA VAR. HETEROPHYLLA","0952","TIAMH","TIHE"
"TORREYA CALIFORNICA","0251","TOCA","TOCA"
"TORREYA TAXIFOLIA","0252","TOTA","TOTA"
"TRIADICA SEBIFERA","0994","TRSE6","TRSE6"
"TSUGA","0260","TSUGA","TS"
"TSUGA CANADENSIS","0261","TSCA","TSCA"
"TSUGA CAROLINIANA","0262","TSCA2","TSCA2"
"TSUGA HETEROPHYLLA","0263","TSHE","TSHE"
"TSUGA MERTENSIANA","0264","TSME","TSME"
"ULMUS","0970","ULMUS","ULS"
"ULMUS ALATA","0971","ULAL","ULAL"
"ULMUS AMERICANA","0972","ULAM","ULAM"
"ULMUS CRASSIFOLIA","0973","ULCR","ULCR"
"ULMUS PUMILA","0974","ULPU","ULPU"
"ULMUS RUBRA","0975","ULRU","ULRU"
"ULMUS SEROTINA","0976","ULSE","ULSE"
"ULMUS THOMASII","0977","ULTH","ULTH"
"UMBELLULARIA CALIFORNICA","0981","UMCA","UMCA"
"VERNICIA FORDII","0995","VEFO","VEFO"
"YUCCA BREVIFOLIA","0982","YUBR","YUBR"
