COLUMN_NAM,LATIN_NAME,COMMON_NAM,YEAR,host.radius,pest.radius,spread,pest.radius2,pest.area2,Region,Guild,Continent,host.density,PHAGY,discpopden,intpopden,popden19002,popden19102,popden19202,popden19302,popden19402,popden19502,popden19602,popden19702,popden19802,popden19902,Popden20002,PopdenEst2007,Rd_Freq2,RdLengthKM2,Income19992,Dist2PortM2,Forestland2,HostFamCnt2,HostSppCnt2,HostGenCnt2,TreeDen2,TreeVol2,Total.Host.Volume,Host.Volume.Where.Pest.Present,Closest.Port,NumHosts,NumHostsUNK,PHAGYUNK,X,Host.Vol.pest.present.unk,X.1,X.2
SM_pres,Leucoma salicis,Satin Moth,89,1085,745,8.371958407,745.1042982,1744150.714,NW,Defoliators,Eurasia,221.2479981,OLIGO,5.122600792,2827.041325,-0.650748253,-0.639703298,-0.625700419,-0.603549143,-0.58595958,-0.543608446,-0.475099827,-0.419904037,-0.306576988,-0.167828247,-0.023595938,0.10163108,66.83410963,791.5177159,18055.79562,443133.6396,249339.1249,7.646517802,16.3149863,9.088300299,7932.173218,35706749.63,818574121.4,133265260.1,SL,-0.453482659,,,,,NA,0.162801702
EPS_pres,Neodiprion sertifer,European Pine Sawfly,84,572,537,6.388549379,536.6381478,904717.4284,NE,Defoliators,Europe,701.4907825,MONO,41.8523967,5614.277764,-0.404972042,-0.356276346,-0.312351883,-0.260819927,-0.238229109,-0.190688043,-0.120312544,-0.061758924,-0.039316283,-0.017526561,0.031681882,0.055043831,25.69981002,261.7587266,18196.70079,744855.5313,175285.0616,12.6890003,29.75108886,17.6949337,11976.7395,12397348.8,720701997.8,566315271.2,NY,-0.318173941,,,,,NA,0.785782852
WM_pres,Operophtera brumata,Winter Moth,79,1381,138,1.747058749,138.0176412,59843.7878,NE,Defoliators,Europe,1722.043638,POLY,15.89615693,5139.932915,-0.648573752,-0.627418528,-0.598868405,-0.533789262,-0.499348823,-0.407195077,-0.246317758,-0.116629838,0.022052252,0.232648517,0.400670989,0.532971302,206.6328435,1334.750119,18016.8397,289815.1896,160577.1087,6.757384323,15.90216239,8.739722046,6846.592315,35660793.56,10315320852,163606109.7,SL,6.176644538,,,,,NA,0.015860496
EFW_pres,Orchestes alni,Elm Flea Weevil,6,953,189,31.54820893,189.2892536,112564.589,NE,Defoliators,UNK,65.66174769,OLIGO,160.1540582,1171.583673,-0.647002002,-0.612358205,-0.570557607,-0.450184649,-0.391332084,-0.24698955,-0.012732378,0.161612277,0.284970683,0.539684084,0.696901001,0.82000659,408.0326377,2308.038091,17549.45535,98140.07814,246570.2414,6.809198968,20.36458841,9.927373307,1156.660696,28383361.95,187454126.7,4347860.916,SL,-0.453482659,,,,,NA,0.023194266
BVW_pres,Otiorhynchus sulcatus,Black Vine Weevil,178,1064,1251,7.030382157,1251.408024,4919803.341,NE,Defoliators,Eurasia,775.791754,POLY,12.77433032,3834.363178,-0.56042213,-0.538830529,-0.519034686,-0.494762241,-0.483073499,-0.456477983,-0.419454117,-0.387980546,-0.366026884,-0.343396519,-0.308051687,-0.288385362,28.90438372,345.8317845,17541.60297,938132.351,195191.6133,7.750714279,17.83441147,10.82401667,7128.968486,15671450.07,2759528099,1716290616,SL,0.087752214,,,,,NA,0.621950766
IWLB_pres,Plagiodera versicolora,Imported Willow Leaf Beetle,94,1127,497,5.287869366,497.0597204,776188.1624,NE,Defoliators,Eurasia,227.9552256,OLIGO,26.87442324,4772.097355,-0.481483593,-0.440131685,-0.39886882,-0.347776529,-0.330004641,-0.287515025,-0.222310363,-0.173517221,-0.16251308,-0.149882264,-0.111958438,-0.098734,26.72074004,323.392571,18209.99476,919193.1458,314951.9384,9.160789143,25.57007983,14.93007559,3275.730622,7123734.237,909580330.6,222981736.3,NY,0.087752214,,,,,NA,0.245147931
JB_pres,Popillia japonica,Japanese Beetle,93,1202,723,7.771005963,722.7035546,1640855.187,SE,Defoliators,Asia,791.7787996,POLY,25.5313787,4549.791505,-0.491588687,-0.451589441,-0.412505211,-0.364310081,-0.347389857,-0.306596824,-0.244575769,-0.197404918,-0.185621546,-0.171806652,-0.133763,-0.119972178,26.52406789,324.5181365,18147.62445,944980.3906,320677.0776,8.890105004,24.71870223,14.52828549,3116.617479,6913481.771,3594445247,2575001911,NY,1.215324867,,,,,NA,0.716383679
LS_pres,Pristiphora erichsonii,Larch Sawfly,129,486,805,4.693055942,605.4042165,1151438.524,NE,Defoliators,UNK,324.7504455,MONO,20.20266316,4861.006216,-0.497049678,-0.464055768,-0.435063162,-0.39917921,-0.381549085,-0.34844982,-0.296849751,-0.251833372,-0.212038406,-0.17966661,-0.127064973,-0.091580694,19.73379087,200.9215586,17144.8896,672803.3458,63161.21782,12.14952294,25.87213136,15.07513265,16780.7206,21550248.42,241424908.5,240591369.5,NY,-0.408379753,,,,,NA,0.996547419
MAS_pres,Pristiphora geniculata,Mountain Ash Sawfly,83,201,625,7.535920701,625.4814182,1229075.883,NE,Defoliators,Eurasia,3.648886355,MONO,30.12614091,4229.151382,-0.477893887,-0.447302469,-0.412390693,-0.372622202,-0.354383458,-0.316909339,-0.261913383,-0.21904814,-0.187036676,-0.169061296,-0.117568892,-0.087884925,20.81761985,205.5531471,17627.1891,830370.7039,54229.32074,11.30175841,25.19446481,14.78188571,14189.78568,17400684.6,460977.2043,365481.79,NY,-0.543688471,,,,,NA,0.792841352
ABL_pres,Profenusa thomsoni,Ambermarked Birch Leafminer,49,748,438,5.719666735,280.26367,246764.955,NE,Defoliators,Europe,281.0416237,MONO,56.77292386,3152.281707,-0.458742114,-0.419068667,-0.373722457,-0.317974439,-0.301380629,-0.256938584,-0.185062165,-0.125774207,-0.106823341,-0.087957281,-0.045779154,-0.031860672,29.28455983,361.5921158,18742.34792,774495.7535,326368.3891,10.68180071,30.70300944,17.08218329,3333.728173,5412404.547,494493883.6,152617868.6,NY,-0.227968129,,,,,NA,0.308634492
EPSM_pres,Rhyacionia buoliana,European Pine Shoot Moth,95,882,832,8.758351481,832.0433907,2174912.668,NE,Defoliators,Europe,577.5494978,OLIGO,20.95539245,3357.467541,-0.522898096,-0.490628008,-0.46879828,-0.444046385,-0.432972345,-0.410454146,-0.374025765,-0.334272906,-0.31280971,-0.293748208,-0.26401629,-0.250243815,31.12546591,344.3409672,18084.93941,862712.7213,325030.6714,10.21656868,28.03157431,16.3531424,3567.700639,7893400.958,1413022677,600652137.1,SL,-0.408379753,,,,,NA,0.425083155
PS_pres,Trichiocampus viminalis,Poplar sawfly,122,882,1467,10.4975802,1280.704785,5152855.18,NE,Defoliators,Europe,276.8563101,OLIGO,3.486737011,4296.559532,-0.639656269,-0.619951425,-0.596164715,-0.548373606,-0.522451997,-0.442245682,-0.324633417,-0.227573211,-0.134314315,0.010013912,0.124710902,0.205566268,147.1456501,1101.44439,18343.28293,307696.0733,244217.0112,6.045592031,15.84019775,7.959785841,1445.841669,15304197.69,676539137.5,642660918,SL,-0.363276847,,,,,NA,0.949924228
